,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,39374290.333333336,25299.0,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",58567711.0,28117.0,2083.0,41879238.0,24306.0,1723.0,17675922.0,23474.0,753.0,,-0.001027989268838625,-0.0010266535044421987
2021-7-15,42428198.5,29224.5,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",63968930.0,30710.0,2083.0,,,1723.0,20887467.0,27739.0,753.0,,1.05139072839357,0.06398587395784028
2021-6-15,20682651.0,27467.0,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,20682651.0,27467.0,753.0,,0.004718706562294228,0.004718706562294228
2021-5-15,20585514.0,27338.0,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,20585514.0,27338.0,753.0,,-0.2301892456850726,0.2711210303622076
2021-4-15,26741006.0,21507.0,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",33034297.0,15859.0,2083.0,,,1723.0,20447715.0,27155.0,753.0,,0.011477301207743151,0.01147533273761936
2021-3-15,26437574.0,21263.0,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",32659357.0,15679.0,2083.0,,,1723.0,20215791.0,26847.0,753.0,,,
2021-2-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2021-1-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2020-12-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2020-11-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2020-10-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2020-9-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2020-8-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2020-7-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2020-6-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2020-5-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2020-4-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2020-3-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2020-2-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2020-1-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2019-12-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2019-11-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2019-10-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2019-9-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2019-8-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2019-7-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2019-6-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2019-5-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2019-4-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2019-3-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2019-2-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2019-1-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2018-12-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2018-11-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2018-10-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2018-9-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2018-8-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2018-7-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2018-6-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2018-5-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2018-4-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2018-3-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2018-2-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,,,
2018-1-15,,,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",,,2083.0,,,1723.0,,,753.0,1519.6666666666667,,
