,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,23142971.250000004,21064.75,4,92571885.00000001,84259.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",36888894.00000001,29918.0,1233.0,36888894.00000001,29918.0,1233.0,9505581.0,12297.0,773.0,9288516.0,12126.0,766.0,-0.02016738549232011,-0.020164431988650255
2019-1-15,22149285.0,20167.75,4,88597140.0,80671.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",35274897.0,28609.0,1233.0,35274897.0,28609.0,1233.0,9093572.0,11764.0,773.0,8953774.0,11689.0,766.0,0.011739561105772012,0.011738885056750581
2018-12-15,21892279.25,19933.75,4,87569117.0,79735.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",34865541.0,28277.0,1233.0,34865541.0,28277.0,1233.0,8987671.0,11627.0,773.0,8850364.0,11554.0,766.0,-0.03715431050251483,-0.037156450755929105
2018-11-15,22737059.0,20703.0,4,90948236.0,82812.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",36210744.0,29368.0,1233.0,36210744.0,29368.0,1233.0,9334748.0,12076.0,773.0,9192000.0,12000.0,766.0,-0.022276961918341165,-0.022278893493429708
2018-10-15,23255112.25,21174.75,4,93020449.0,84699.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",37035621.0,30037.0,1233.0,37035621.0,30037.0,1233.0,9547323.0,12351.0,773.0,9401884.0,12274.0,766.0,-0.036819015200759475,-0.03682181561799924
2018-9-15,24144073.25,21984.25,4,96576293.0,87937.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",38451105.0,31185.0,1233.0,38451105.0,31185.0,1233.0,9912178.999999998,12823.0,773.0,9761904.0,12744.0,766.0,-0.026724855530161018,-0.026728794049938
2018-8-15,24807037.75,22588.0,4,99228151.0,90352.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",39506553.0,32041.0,1233.0,39506553.0,32041.0,1233.0,10184275.0,13175.0,773.0,10030770.0,13095.0,766.0,0.010443278107297171,0.010445324207653872
2018-7-15,24550648.5,22354.5,4,98202594.0,89418.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",39098430.0,31710.0,1233.0,39098430.0,31710.0,1233.0,10078374.0,13038.0,773.0,9927360.0,12960.0,766.0,0.008517868913845206,0.008515389734161882
2018-6-15,24343295.5,22165.75,4,97373182.0,88663.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",38767986.0,31442.0,1233.0,38767986.0,31442.0,1233.0,9993344.0,12928.0,773.0,9843866.0,12851.0,766.0,0.026775547925868892,0.02677444383967753
2018-5-15,23708487.75,21587.75,4,94833951.0,86351.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",37756926.0,30622.0,1233.0,37756926.0,30622.0,1233.0,9732843.0,12591.0,773.0,9587256.0,12516.0,766.0,0.020809469152106574,0.02091461540280437
2018-4-15,23225184.0,21145.5,4,92900736.0,84582.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",36996165.0,30005.0,1233.0,36996165.0,30005.0,1233.0,9524906.0,12322.0,773.0,9383500.0,12250.0,766.0,0.020683184317332515,0.02068349664526714
2018-3-15,22754547.5,20717.0,4,91018190.0,82868.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",36246501.0,29397.0,1233.0,36246501.0,29397.0,1233.0,9331656.0,12072.0,773.0,9193532.0,12002.0,766.0,0.011132892288287621,0.011127922299770665
2018-2-15,22504012.75,20489.0,4,90016051.0,81956.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",35847009.0,29073.0,1233.0,35847009.0,29073.0,1233.0,9228847.0,11939.0,773.0,9093186.0,11871.0,766.0,,
2018-1-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2017-12-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2017-11-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2017-10-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2017-9-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2017-8-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2017-7-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2017-6-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2017-5-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2017-4-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2017-3-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2017-2-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2017-1-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2016-12-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2016-11-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2016-10-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2016-9-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2016-8-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2016-7-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2016-6-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2016-5-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2016-4-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2016-3-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2016-2-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
2016-1-15,,,4,,,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",,,1233.0,,,1233.0,,,773.0,,,766.0,,
