,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_7,npsf_7,nfa_7,nfa_avg,lumpSum_change,npsf_change
2022-12-15,3591268.5,9627.0,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",2557240.0,9133.0,280.0,4625297.0,10121.0,457.0,,0.017385913134033926,0.017384412153236495
2022-1-15,4021370.5,10780.0,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",2863560.0,10227.0,280.0,5179181.0,11333.0,457.0,,-0.07113297131414265,-0.07113006764034291
2021-12-15,4329328.5,11605.5,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",3082800.0,11010.0,280.0,5575857.0,12201.0,457.0,,0.08290349195494273,0.08290566389847909
2021-11-15,3997889.5,10717.0,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",2846760.0,10167.0,280.0,5149019.0,11267.0,457.0,,-0.012116120335884828,-0.012121491450430955
2021-10-15,4046922.5,10848.5,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",2881760.0,10292.0,280.0,5212085.0,11405.0,457.0,,-0.030517948577898024,-0.03051831992850762
2021-9-15,4174314.0,11190.0,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",2972480.0,10616.0,280.0,5376148.0,11764.0,457.0,,-0.06014284348896737,-0.06013774567444985
2021-8-15,4441434.5,11906.0,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",3162600.0,11295.0,280.0,5720269.0,12517.0,457.0,,0.04618707886315243,0.046175475594218085
2021-7-15,4245354.0,11380.5,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",3023160.0,10797.0,280.0,5467548.0,11964.0,457.0,,-0.01909440966248921,-0.019091535942078908
2021-6-15,4327994.5,11602.0,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",3081960.0,11007.0,280.0,5574029.0,12197.0,457.0,,,
2021-5-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2021-4-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2021-3-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2021-2-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2021-1-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2020-12-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2020-11-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2020-10-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2020-9-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2020-8-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2020-7-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2020-6-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2020-5-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2020-4-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2020-3-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2020-2-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2020-1-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2019-12-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2019-11-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2019-10-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2019-9-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2019-8-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2019-7-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2019-6-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2019-5-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2019-4-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2019-3-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2019-2-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2019-1-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2018-12-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2018-11-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2018-10-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2018-9-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2018-8-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2018-7-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2018-6-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2018-5-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2018-4-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2018-3-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2018-2-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,,,
2018-1-15,,,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",,,280.0,,,457.0,368.5,,
