,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,nfa_avg,lumpSum_change,npsf_change
2020-12-15,8740386.3,23986.6,"ARBOUR,TAK SHING ST|本木,德成街",8600550.0,24573.0,350.0,12281885.0,24035.0,511.0,6737152.0,26317.0,256.0,11770374.0,23034.0,511.0,8203300.0,23438.0,350.0,8196110.0,24466.0,335.0,8901144.0,23548.0,378.0,6112256.0,23876.0,256.0,8765442.0,23189.0,378.0,7835650.0,23390.0,335.0,,-0.023123216237844635,-0.023128143517481603
2018-11-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2018-10-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2018-9-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2018-8-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2018-7-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2018-6-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2018-5-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2018-4-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2018-3-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2018-2-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2018-1-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2017-12-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2017-11-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2017-10-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2017-9-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2017-8-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2017-7-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2017-6-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2017-5-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2017-4-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2017-3-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2017-2-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2017-1-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2016-12-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2016-11-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2016-10-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2016-9-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2016-8-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2016-7-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2016-6-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2016-5-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2016-4-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2016-3-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2016-2-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2016-1-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,366.0,,
