,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,lumpSum_change,npsf_change
2019-12-15,4540626.0,14880.692307692309,13,59028138.0,193449.0,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",6226610.0,14755.0,422.0,3248435.0,15109.0,215.0,3290637.0,15449.0,213.0,3196701.0,15443.0,207.0,3178345.0,14783.0,215.0,5299448.0,13519.0,392.0,5296955.0,15265.0,347.0,6112775.0,14383.0,425.0,4617270.0,14658.0,315.0,4436880.0,14595.0,304.0,4685438.0,14506.0,323.0,3432280.0,16190.0,212.0,6006364.0,14794.0,406.0,-0.030842382318750028,-0.030850621471190776
2019-1-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2018-12-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2018-11-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2018-10-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2018-9-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2018-8-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2018-7-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2018-6-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2018-5-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2018-4-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2018-3-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2018-2-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2018-1-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2017-12-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2017-11-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2017-10-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2017-9-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2017-8-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2017-7-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2017-6-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2017-5-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2017-4-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2017-3-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2017-2-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2017-1-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2016-12-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2016-11-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2016-10-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2016-9-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2016-8-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2016-7-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2016-6-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2016-5-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2016-4-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2016-3-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2016-2-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
2016-1-15,,,13,,,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",,,422.0,,,215.0,,,213.0,,,207.0,,,215.0,,,392.0,,,347.0,,,425.0,,,315.0,,,304.0,,,323.0,,,212.0,,,406.0,,
