,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2020-12-15,6411103.5,9287.833333333334,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7434957.000000001,8947.0,831.0,6452283.0,8999.0,717.0,6756291.0,9423.0,717.0,7334406.0,8826.0,831.0,5242731.0,9763.0,537.0,5245953.0,9769.0,537.0,,0.014350911334725547,0.014361644035094212
2020-1-15,6479761.0,9392.666666666666,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7484817.000000001,9007.0,831.0,6392055.0,8915.0,717.0,6716139.000000001,9367.0,717.0,7565424.0,9104.0,831.0,5278710.0,9830.0,537.0,5441421.0,10133.0,537.0,,-1.712996799940747e-05,-3.5487419709823165e-05
2019-12-15,6479872.0,9393.0,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7484817.0,9007.0,831.0,6392055.0,8915.0,717.0,6716856.0,9368.0,717.0,7563761.999999999,9102.0,831.0,5280321.0,9833.0,537.0,5441421.0,10133.0,537.0,,0.0038634789963367666,0.003829506795148152
2019-11-15,6454933.5,9357.166666666666,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7454901.0,8971.0,831.0,6368394.0,8882.0,717.0,6691044.000000001,9332.0,717.0,7532184.0,9064.0,831.0,5262063.0,9799.0,537.0,5421014.999999999,10095.0,537.0,,0.011365245904516152,0.011330475195446166
2019-10-15,6382396.0,9252.333333333334,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7373463.0,8873.0,831.0,6300279.0,8787.0,717.0,6602853.0,9209.0,717.0,7449084.0,8964.0,831.0,5206752.0,9696.0,537.0,5361945.0,9985.0,537.0,,-0.025015090934768724,-0.02502678304852557
2019-9-15,6546148.5,9489.833333333334,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7561269.0,9099.0,831.0,6461604.0,9012.0,717.0,6774216.0,9448.0,717.0,7639383.0,9193.0,831.0,5341539.0,9947.0,537.0,5498880.0,10240.0,537.0,,-0.028762358852149505,-0.028709358261403528
2019-8-15,6740007.0,9770.333333333334,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7772343.000000001,9353.0,831.0,6705384.0,9352.0,717.0,6966372.0,9716.0,717.0,7852119.0,9449.0,831.0,5491899.0,10227.0,537.0,5651925.0,10525.0,537.0,,0.010441795727109904,0.010427978006446459
2019-7-15,6670356.5,9669.5,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7690905.0,9255.0,831.0,6635118.0,9254.0,717.0,6896823.0,9619.0,717.0,7769850.0,9350.0,831.0,5436588.0,10124.0,537.0,5592855.0,10415.0,537.0,,0.02617830164260515,0.02621384982754038
2019-6-15,6500192.5,9422.5,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7493958.0,9018.0,831.0,6466623.0,9019.0,717.0,6724743.0,9379.0,717.0,7572071.999999999,9112.0,831.0,5300189.999999999,9870.0,537.0,5443569.0,10137.0,537.0,,-0.026608005313065397,-0.0266179990013945
2019-5-15,6677877.5,9680.166666666666,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7695891.000000001,9261.0,831.0,6643005.0,9265.0,717.0,6911880.0,9640.0,717.0,7778990.999999999,9361.0,831.0,5446254.0,10142.0,537.0,5591244.0,10412.0,537.0,,0.018216001913268665,0.01787560680675071
2019-4-15,6558409.5,9510.166666666666,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7495620.0,9020.0,831.0,6536171.999999999,9116.0,717.0,6804330.0,9490.0,717.0,7653510.0,9210.0,831.0,5360334.0,9982.0,537.0,5500491.0,10243.0,537.0,,0.014088188620377196,0.013913074380752732
2019-3-15,6467297.0,9379.666666666666,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7403379.0,8909.0,831.0,6456585.000000001,9005.0,717.0,6681006.0,9318.0,717.0,7533015.000000001,9065.0,831.0,5296968.0,9864.0,537.0,5432829.0,10117.0,537.0,,0.04997493699749689,0.050139015879531845
2019-2-15,6159477.5,8931.833333333334,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7053528.0,8488.0,831.0,6151860.000000001,8580.0,717.0,6368394.0,8882.0,717.0,7179009.0,8639.0,831.0,5027931.0,9363.0,537.0,5176143.0,9639.0,537.0,,-0.011671687351116455,-0.010432823694512039
2019-1-15,6232218.0,9026.0,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7162389.0,8619.0,831.0,6247938.0,8714.0,717.0,6489567.0,9051.0,717.0,7292025.0,8775.0,831.0,5106333.0,9509.0,537.0,5095056.0,9488.0,537.0,,-0.008122385012986122,-0.00813186813186817
2018-12-15,6283253.0,9100.0,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7219728.0,8688.0,831.0,6298128.0,8784.0,717.0,6541908.0,9124.0,717.0,7353519.0,8849.0,831.0,5148218.999999999,9587.0,537.0,5138016.0,9568.0,537.0,,-0.027138310882520944,-0.027240820253345066
2018-11-15,6458526.5,9354.833333333334,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7401717.0,8907.0,831.0,6477378.0,9034.0,717.0,6728328.0,9384.0,717.0,7563762.0,9102.0,831.0,5294283.0,9859.0,537.0,5285691.0,9843.0,537.0,,-0.006196684848235434,-0.00619699357283221
2018-10-15,6498797.5,9413.166666666666,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7449084.0,8964.0,831.0,6516813.000000001,9089.0,717.0,6769197.0,9441.0,717.0,7611129.0,9159.0,831.0,5327040.0,9920.0,537.0,5319522.0,9906.0,537.0,,-0.03156894519312636,-0.031583820579208166
2018-9-15,6710645.5,9720.166666666666,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7691736.0,9256.0,831.0,6727611.0,9383.0,717.0,6989316.0,9748.0,717.0,7859598.0,9458.0,831.0,5502102.0,10246.0,537.0,5493510.0,10230.0,537.0,,0.018995916360478482,0.01764090036642818
2018-8-15,6585547.0,9551.666666666666,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7607805.0,9155.0,831.0,6652326.0,9278.0,717.0,6911880.0,9640.0,717.0,7464873.0,8983.0,831.0,5443032.0,10136.0,537.0,5433366.0,10118.0,537.0,,-0.03519989920617539,-0.03544499798034195
2018-7-15,6825815.0,9902.666666666666,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7840484.999999999,9435.0,831.0,6903276.0,9628.0,717.0,7173585.0,10005.0,717.0,7746582.0,9322.0,831.0,5650851.0,10523.0,537.0,5640111.0,10503.0,537.0,,0.041142010906052295,0.04108916963081066
2018-6-15,6556084.5,9511.833333333334,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7528860.0,9060.0,831.0,6630099.0,9247.0,717.0,6891087.0,9611.0,717.0,7437450.0,8950.0,831.0,5430144.0,10112.0,537.0,5418867.0,10091.0,537.0,,0.031355087314425045,0.03126072893514764
2018-5-15,6356767.5,9223.5,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7303659.0,8789.0,831.0,6432924.0,8972.0,717.0,6655194.0,9282.0,717.0,7215573.0,8683.0,831.0,5272803.0,9819.0,537.0,5260452.0,9796.0,537.0,,-0.004167625538293196,-0.004228443932632775
2018-4-15,6383371.0,9262.666666666666,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7332744.0,8824.0,831.0,6460170.0,9010.0,717.0,6680289.0,9317.0,717.0,7243827.0,8717.0,831.0,5298042.0,9866.0,537.0,5285154.0,9842.0,537.0,,0.012010726087780865,0.01069324216192613
2018-3-15,6307612.0,9164.666666666666,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7021950.0,8450.0,831.0,6429339.0,8967.0,717.0,6646590.0,9270.0,717.0,7208094.0,8674.0,831.0,5277099.0,9827.0,537.0,5262600.0,9800.0,537.0,,0.03319490214388843,0.03312353217472985
2018-2-15,6104958.5,8870.833333333334,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",6794256.0,8176.0,831.0,6222126.0,8678.0,717.0,6431490.0,8970.0,717.0,6974583.0,8393.0,831.0,5111703.0,9519.0,537.0,5095593.0,9489.0,537.0,,0.04268905613966556,0.04266656218778775
2018-1-15,5855013.5,8507.833333333334,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",6494265.0,7815.0,831.0,5976912.0,8336.0,717.0,6176954.999999999,8615.0,717.0,6696198.0,8058.0,831.0,4913550.0,9150.0,537.0,4872201.0,9073.0,537.0,,-0.00630979099119644,-0.006326403488281507
2017-12-15,5892192.0,8562.0,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",6535814.999999999,7865.0,831.0,6015630.0,8390.0,717.0,6215673.0,8669.0,717.0,6736917.0,8107.0,831.0,4945233.0,9209.0,537.0,4903884.0,9132.0,537.0,,0.005466577089999536,0.0048902625092914764
2017-11-15,5860157.0,8520.333333333334,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",6488448.0,7808.0,831.0,5971893.0,8329.0,717.0,6169068.0,8604.0,717.0,6684564.0,8044.0,831.0,4979064.0,9272.0,537.0,4867905.0,9065.0,537.0,,0.03302524973950294,0.033018105399288844
2017-10-15,5672811.0,8248.0,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",6282360.0,7560.0,831.0,5781171.0,8063.0,717.0,5971176.0,8328.0,717.0,6469335.0,7785.0,831.0,4820112.0,8976.0,537.0,4712712.0,8776.0,537.0,,0.005615627713052351,0.0057923297359916415
2017-9-15,5641132.5,8200.5,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",6218373.0,7483.0,831.0,5723094.0,7982.0,717.0,6067971.0,8463.0,717.0,6401193.0,7703.0,831.0,4770708.0,8884.0,537.0,4665456.0,8688.0,537.0,,0.018735829276815608,0.01873783593523548
2017-8-15,5537385.0,8049.666666666667,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",6105356.999999999,7347.0,831.0,5618412.0,7836.0,717.0,5956836.0,8308.0,717.0,6281529.0,7559.0,831.0,4682640.0,8720.0,537.0,4579536.0,8528.0,537.0,,-0.009963239596285423,-0.010023161907885325
2017-7-15,5593110.5,8131.166666666667,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",6176822.999999999,7433.0,831.0,5768265.0,8045.0,717.0,5893740.0,8220.0,717.0,6351333.000000001,7643.0,831.0,4736877.0,8821.0,537.0,4631625.0,8625.0,537.0,,0.02191958676748995,0.022252488213724497
2017-6-15,5473141.5,7954.166666666667,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",6049680.000000001,7280.0,831.0,5619846.0,7838.0,717.0,5856456.0,8168.0,717.0,6187626.0,7446.0,831.0,4613904.0,8592.0,537.0,4511337.0,8401.0,537.0,,0.014028451350125648,0.014044705082441045
2017-5-15,5397424.0,7844.0,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",5966580.0,7180.0,831.0,5542410.000000001,7730.0,717.0,5774718.0,8054.0,717.0,6102864.0,7344.0,831.0,4550001.0,8473.0,537.0,4447971.0,8283.0,537.0,,-0.025441789391710046,-0.02542864242524645
2017-4-15,5538329.0,8048.666666666667,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",6122808.0,7368.0,831.0,5687244.0,7932.0,717.0,5924571.0,8263.0,717.0,6263247.000000001,7537.0,831.0,4668678.0,8694.0,537.0,4563426.0,8498.0,537.0,,0.048647797113663405,0.0486634383618163
2017-3-15,5281400.5,7675.166666666667,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",5839437.000000001,7027.0,831.0,5424105.0,7565.0,717.0,5649960.0,7880.0,717.0,5972396.999999999,7187.0,831.0,4451730.0,8290.0,537.0,4350774.0,8102.0,537.0,,0.035693617955890655,0.03569179560993163
2017-2-15,5099385.0,7410.666666666667,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",5641659.0,6789.0,831.0,5221911.0,7283.0,717.0,5459955.0,7615.0,717.0,5770464.0,6944.0,831.0,4300296.0,8008.0,537.0,4202025.0,7825.0,537.0,,-0.010678491583884231,-0.010481807054634418
2017-1-15,5154426.5,7489.166666666667,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",5696505.0,6855.0,831.0,5272818.0,7354.0,717.0,5514447.0,7691.0,717.0,5859381.000000001,7051.0,831.0,4341645.0,8085.0,537.0,4241763.0,7899.0,537.0,,-0.01855218912918466,-0.01854359601607547
2016-12-15,5251860.0,7630.666666666667,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",5803704.0,6984.0,831.0,5373198.0,7494.0,717.0,5619846.0,7838.0,717.0,5969904.000000001,7184.0,831.0,4423806.0,8238.0,537.0,4320702.0,8046.0,537.0,,0.043536315366193845,0.042749447696267096
2016-11-15,5032752.5,7317.833333333333,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",5563545.0,6695.0,831.0,5150928.0,7184.0,717.0,5339499.0,7447.0,717.0,5699829.0,6859.0,831.0,4304592.0,8016.0,537.0,4138121.9999999995,7706.0,537.0,,0.03168640438786552,0.031819143186144316
2016-10-15,4878180.5,7092.166666666667,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",5389035.0,6485.0,831.0,4990320.0,6960.0,717.0,5171721.0,7213.0,717.0,5541108.0,6668.0,831.0,4169268.0000000005,7764.0,537.0,4007631.0000000005,7463.0,537.0,,0.004397835538925587,0.0044139168200916234
2016-9-15,4856821.0,7061.0,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",5365767.0,6457.0,831.0,4968810.0,6930.0,717.0,5149494.0,7182.0,717.0,5517009.0,6639.0,831.0,4149935.9999999995,7728.0,537.0,3989909.9999999995,7430.0,537.0,,0.04144925674728861,0.04162466501118689
2016-8-15,4663521.5,6778.833333333333,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",5143890.0,6190.0,831.0,4763748.0,6644.0,717.0,4958055.0,6915.0,717.0,5311752.0,6392.0,831.0,3978096.0000000005,7408.0,537.0,3825587.9999999995,7124.0,537.0,,0.004990340737241583,0.004991228286921334
2016-7-15,4640364.5,6745.166666666667,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",5118960.0,6160.0,831.0,4740804.0,6612.0,717.0,4932243.0,6879.0,717.0,5285160.0,6360.0,831.0,3957689.9999999995,7370.0,537.0,3807330.0,7090.0,537.0,,0.004218250990478456,0.0042182576114737635
2016-6-15,4620872.5,6716.833333333333,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",5096523.0,6133.0,831.0,4721445.0,6585.0,717.0,4911450.0,6850.0,717.0,5263554.0,6334.0,831.0,3939969.0,7337.0,537.0,3792294.0,7062.0,537.0,,0.05103972441573967,0.05090093613914304
2016-5-15,4396477.5,6391.5,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",4863012.0,5852.0,831.0,4350039.0,6067.0,717.0,4761597.0,6641.0,717.0,5024226.0,6046.0,831.0,3760073.9999999995,7002.0,537.0,3619917.0000000005,6741.0,537.0,,-0.014641606407988839,-0.01464580282124417
2016-4-15,4461805.5,6486.5,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",4934478.0,5938.0,831.0,4414569.0,6157.0,717.0,4831863.0,6739.0,717.0,5099847.0,6137.0,831.0,3815384.9999999995,7105.0,537.0,3674691.0,6843.0,537.0,,-0.0113337073677241,-0.011354976375552495
2016-3-15,4512954.0,6561.0,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",4990155.0,6005.0,831.0,4464759.0,6227.0,717.0,4886355.0,6815.0,717.0,5158848.0,6208.0,831.0,3859419.0,7187.0,537.0,3718188.0000000005,6924.0,537.0,,0.0038011599326448486,0.0025722653762891845
2016-2-15,4495864.5,6544.166666666667,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",5005944.0,6024.0,831.0,4479099.0,6247.0,717.0,4902129.0,6837.0,717.0,4985169.0,5999.0,831.0,3872307.0,7211.0,537.0,3730538.9999999995,6947.0,537.0,,0.004599151517155731,0.004425457894198459
