,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2020-12-15,8996003.4,19621.2,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",10896405.0,16435.0,663.0,11115858.0,16766.0,663.0,8682408.0,20972.0,414.0,7311148.0,24452.0,299.0,6974198.0,19481.0,358.0,,0.008842598477007302,0.008843551405713246
2020-1-15,9395059.6,20491.8,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11377743.0,17161.0,663.0,11610456.0,17512.0,663.0,9067428.0,21902.0,414.0,7636161.0,25539.0,299.0,7283510.0,20345.0,358.0,,-0.021736695713874155,-0.021740375802016598
2019-12-15,9603814.8,20947.2,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11630346.0,17542.0,663.0,11868363.0,17901.0,663.0,9269046.0,22389.0,414.0,7805993.0,26107.0,299.0,7445326.0,20797.0,358.0,,-0.0005683674579284315,-0.000572540936677024
2019-11-15,9609276.4,20959.2,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11636976.0,17552.0,663.0,11874993.0,17911.0,663.0,9274014.0,22401.0,414.0,7810777.0,26123.0,299.0,7449622.0,20809.0,358.0,,0.035097265429028024,0.035093784261628125
2019-10-15,9283452.6,20248.6,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11241828.0,16956.0,663.0,11472552.0,17304.0,663.0,8959788.0,21642.0,414.0,7545863.0,25237.0,299.0,7197232.0,20104.0,358.0,,-0.02481246491733513,-0.02481241391267497
2019-9-15,9519658.8,20763.8,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11527581.0,17387.0,663.0,11764935.0,17745.0,663.0,9187488.0,22192.0,414.0,7738120.0,25880.0,299.0,7380170.0,20615.0,358.0,,0.011811236362432087,0.01181205960606957
2019-8-15,9408532.4,20521.4,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11392992.0,17184.0,663.0,11627694.0,17538.0,663.0,9080262.0,21933.0,414.0,7647822.0,25578.0,299.0,7293892.0,20374.0,358.0,,-0.049119439222432226,-0.04912518070949312
2019-7-15,9894547.0,21581.6,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11981073.0,18071.0,663.0,12228372.0,18444.0,663.0,9549324.0,23066.0,414.0,8043100.000000001,26900.0,299.0,7670866.0,21427.0,358.0,,0.017070837976661757,0.017069285653694033
2019-6-15,9728473.8,21219.4,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11779521.0,17767.0,663.0,12023505.0,18135.0,663.0,9389106.0,22679.0,414.0,7908251.0,26449.0,299.0,7541986.0,21067.0,358.0,,-0.007998742275451942,-0.008003515562910679
2019-5-15,9806916.8,21390.6,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11874330.0,17910.0,663.0,12120303.0,18281.0,663.0,9464868.0,22862.0,414.0,7972237.0,26663.0,299.0,7602846.0,21237.0,358.0,,,
2019-4-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2019-3-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2019-2-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2019-1-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2018-12-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2018-11-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2018-10-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2018-9-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2018-8-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2018-7-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2018-6-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2018-5-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2018-4-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2018-3-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2018-2-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2018-1-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2017-12-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2017-11-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2017-10-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2017-9-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2017-8-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2017-7-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2017-6-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2017-5-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2017-4-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2017-3-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2017-2-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2017-1-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2016-12-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2016-11-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2016-10-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2016-9-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2016-8-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2016-7-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2016-6-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2016-5-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2016-4-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2016-3-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2016-2-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,,,
2016-1-15,,,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,414.0,,,299.0,,,358.0,479.4,,
