,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2020-12-15,10531711.6,19474.2,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",12095520.0,18080.0,669.0,11741296.0,18578.0,632.0,9698605.000000002,19915.0,487.0,9584201.000000002,21251.0,451.0,9538936.0,19547.0,488.0,,0.008837184450278146,0.008837729749891388
2019-8-15,11013209.4,20364.2,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",12640755.0,18895.0,669.0,12291136.0,19448.0,632.0,10139340.0,20820.0,487.0,10023024.0,22224.0,451.0,9971792.0,20434.0,488.0,,-0.04912160122909215,-0.04912169292404811
2019-7-15,11582142.8,21416.2,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",13293030.0,19870.0,669.0,12926928.0,20454.0,632.0,10663352.0,21896.0,487.0,10540772.0,23372.0,451.0,10486632.0,21489.0,488.0,,0.01708745572712056,0.017087441347998666
2019-6-15,11387558.4,21056.4,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",13068915.0,19535.0,669.0,12710784.0,20112.0,632.0,10483649.0,21527.0,487.0,10363980.0,22980.0,451.0,10310464.0,21128.0,488.0,,-0.00800261420786641,-0.007999547728750334
2019-5-15,11479423.8,21226.2,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",13173948.0,19692.0,669.0,12814432.0,20276.0,632.0,10567900.0,21700.0,487.0,10447415.0,23165.0,451.0,10393424.0,21298.0,488.0,,,
2019-4-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2019-3-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2019-2-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2019-1-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2018-12-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2018-11-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2018-10-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2018-9-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2018-8-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2018-7-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2018-6-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2018-5-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2018-4-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2018-3-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2018-2-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2018-1-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2017-12-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2017-11-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2017-10-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2017-9-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2017-8-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2017-7-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2017-6-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2017-5-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2017-4-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2017-3-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2017-2-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2017-1-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2016-12-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2016-11-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2016-10-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2016-9-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2016-8-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2016-7-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2016-6-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2016-5-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2016-4-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2016-3-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2016-2-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,,,
2016-1-15,,,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",,,669.0,,,632.0,,,487.0,,,451.0,,,488.0,545.4,,
