,lumpSum_avg,npsf_avg,final_address,lumpSum_14,npsf_14,nfa_14,lumpSum_6,npsf_6,nfa_6,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2865868.0,7097.0,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",2717760.0,7152.0,380.0,3013976.0,7042.0,428.0,,-0.018595492728163077,-0.018599184125008605
2020-7-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2020-6-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2020-5-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2020-4-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2020-3-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2020-2-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2020-1-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2019-12-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2019-11-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2019-10-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2019-9-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2019-8-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2019-7-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2019-6-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2019-5-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2019-4-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2019-3-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2019-2-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2019-1-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2018-12-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2018-11-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2018-10-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2018-9-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2018-8-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2018-7-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2018-6-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2018-5-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2018-4-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2018-3-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2018-2-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2018-1-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,404.0,,
