,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7386857.25,23668.5,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",7241778.0,20457.0,354.0,5343957.0,25089.0,213.0,7028091.0,25011.0,281.0,9953802.0,24043.0,414.0,9612666.0,23219.0,414.0,7344216.0,26136.0,281.0,5285382.0,24814.0,213.0,7284966.0,20579.0,354.0,,-0.018385527929793644,-0.01838824230799141
2022-1-15,7832804.25,25158.625,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",7947299.999999999,22450.0,354.0,5681349.0,26673.0,213.0,7535296.0,26816.0,281.0,10488690.0,25335.0,414.0,9551394.0,23071.0,414.0,7806461.0,27781.0,281.0,5656854.0,26558.0,213.0,7995090.0,22585.0,354.0,,-0.04372858115725564,-0.04372553118704625
2021-12-15,8190984.375,26309.0,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",8310858.0,23477.0,354.0,5940996.0,27892.0,213.0,7880083.0,28043.0,281.0,10968102.0,26493.0,414.0,9988578.0,24127.0,414.0,8163049.999999999,29050.0,281.0,5915436.0,27772.0,213.0,8360772.000000001,23618.0,354.0,,0.03479681477537522,0.03479945327787437
2021-11-15,7915548.5,25424.25,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",8031198.0,22687.0,354.0,5741202.0,26954.0,213.0,7615100.0,27100.0,281.0,10599228.0,25602.0,414.0,9653238.0,23317.0,414.0,7888232.0,28072.0,281.0,5716494.0,26838.0,213.0,8079696.0,22824.0,354.0,,-0.05118526273372248,-0.05118348991911026
2021-10-15,8342564.875,26795.75,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",8464494.0,23911.0,354.0,6050904.0,28408.0,213.0,8025921.999999999,28562.0,281.0,11170962.0,26983.0,414.0,10174464.0,24576.0,414.0,8313384.999999999,29585.0,281.0,6024918.0,28286.0,213.0,8515470.0,24055.0,354.0,,0.019801444033116233,0.019804665014295786
2021-9-15,8180577.625,26275.375,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",8300237.999999999,23447.0,354.0,5933328.0,27856.0,213.0,7869967.0,28007.0,281.0,10954026.0,26459.0,414.0,9977400.0,24100.0,414.0,8151529.0,29009.0,281.0,5907981.0,27737.0,213.0,8350152.0,23588.0,354.0,,0.02299920938874389,0.023005119819346387
2021-8-15,7996660.75,25684.5,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",8113680.000000001,22920.0,354.0,5799777.0,27229.0,213.0,7692937.0,27377.0,281.0,10707696.0,25864.0,414.0,9753840.0,23560.0,414.0,7967755.000000001,28355.0,281.0,5775069.0,27113.0,213.0,8162532.000000001,23058.0,354.0,,0.035613949361127606,0.03562356356598517
2021-7-15,7721661.875,24801.0,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",7834728.0,22132.0,354.0,5599131.0,26287.0,213.0,7428797.0,26437.0,281.0,10339650.0,24975.0,414.0,9418914.0,22751.0,414.0,7693499.0,27379.0,281.0,5576766.0,26182.0,213.0,7881810.0,22265.0,354.0,,-0.03916064667929808,-0.039205051718126493
2021-6-15,8036371.375,25813.0,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",8157576.0,23044.0,354.0,5829597.0,27369.0,213.0,7734806.000000001,27526.0,281.0,10765242.0,26003.0,414.0,9807660.0,23690.0,414.0,8010186.0,28506.0,281.0,5806380.0,27260.0,213.0,8179524.0,23106.0,354.0,,0.04830747696746407,0.048648209461518155
2021-5-15,7666044.125,24615.5,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",7804992.0,22048.0,354.0,5577618.0,26186.0,213.0,7400416.0,26336.0,281.0,10299906.0,24879.0,414.0,9384138.0,22667.0,414.0,7479939.0,26619.0,281.0,5555466.0,26082.0,213.0,7825878.0,22107.0,354.0,,-0.026646447625181313,-0.026107426694955027
2021-4-15,7875909.125,25275.375,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",8059163.999999999,22766.0,354.0,5759094.0,27038.0,213.0,7641514.0,27194.0,281.0,10635660.0,25690.0,414.0,9690498.0,23407.0,414.0,7404069.0,26349.0,281.0,5736516.0,26932.0,213.0,8080758.0,22827.0,354.0,,0.003374308639447321,0.003374304669938377
2021-3-15,7849422.75,25190.375,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",8031905.999999999,22689.0,354.0,5739711.0,26947.0,213.0,7615943.0,27103.0,281.0,10599642.0,25603.0,414.0,9658206.0,23329.0,414.0,7379341.0,26261.0,281.0,5717133.0,26841.0,213.0,8053500.0,22750.0,354.0,,0.007294325729589435,0.007756085852019368
2021-2-15,7792581.125,24996.5,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",7958981.999999999,22483.0,354.0,5687526.0,26702.0,213.0,7546817.0,26857.0,281.0,10617858.0,25647.0,414.0,9571266.0,23119.0,414.0,7312463.0,26023.0,281.0,5665161.0,26597.0,213.0,7980575.999999999,22544.0,354.0,,0.0009348865720091304,0.0015275433596939614
2021-1-15,7785302.75,24958.375,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",7994382.000000001,22583.0,354.0,5712660.0,26820.0,213.0,7580256.0,26976.0,281.0,10665054.0,25761.0,414.0,9614322.0,23223.0,414.0,7009264.0,24944.0,281.0,5690508.0,26716.0,213.0,8015976.000000001,22644.0,354.0,,-0.007933483794089535,-0.007589689553366363
2020-12-15,7847561.25,25149.25,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",8093501.999999999,22863.0,354.0,5756325.0,27025.0,213.0,7638704.0,27184.0,281.0,10746612.0,25958.0,414.0,9688842.0,23403.0,414.0,6978916.0,24836.0,281.0,5734173.0,26921.0,213.0,8143416.000000001,23004.0,354.0,,,
2020-11-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2020-10-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2020-9-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2020-8-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2020-7-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2020-6-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2020-5-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2020-4-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2020-3-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2020-2-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2020-1-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2019-12-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2019-11-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2019-10-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2019-9-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2019-8-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2019-7-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2019-6-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2019-5-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2019-4-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2019-3-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2019-2-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2019-1-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2018-12-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2018-11-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2018-10-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2018-9-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2018-8-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2018-7-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2018-6-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2018-5-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2018-4-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2018-3-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2018-2-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,,,
2018-1-15,,,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",,,354.0,,,213.0,,,281.0,,,414.0,,,414.0,,,281.0,,,213.0,,,354.0,315.5,,
