,lumpSum_avg,npsf_avg,final_address,lumpSum_10,npsf_10,nfa_10,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_18,npsf_18,nfa_18,lumpSum_22,npsf_22,nfa_22,lumpSum_23,npsf_23,nfa_23,lumpSum_6,npsf_6,nfa_6,lumpSum_8,npsf_8,nfa_8,nfa_avg,lumpSum_change,npsf_change
2020-12-15,1647416.25,5473.875,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1574212.0,5543.0,284.0,1726195.0,5515.0,313.0,1717422.0,5558.0,309.0,1681436.0,5372.0,313.0,1674471.0,5419.0,309.0,1697904.0,5442.0,312.0,1529763.9999999998,5444.0,281.0,1577926.0,5498.0,287.0,,-0.07261074121941846,-0.07261753494282086
2017-11-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2017-10-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2017-9-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2017-8-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2017-7-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2017-6-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2017-5-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2017-4-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2017-3-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2017-2-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2017-1-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2016-12-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2016-11-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2016-10-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2016-9-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2016-8-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2016-7-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2016-6-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2016-5-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2016-4-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2016-3-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2016-2-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2016-1-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,301.0,,
