,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,9315027.0,19700.2,5,46575135.0,98501.0,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11797422.0,17794.0,663.0,11585925.0,17475.0,663.0,9077968.0,20084.0,452.0,6756204.0,22596.0,299.0,7357616.0,20552.0,358.0,-0.0009702197325045514,-0.0009635279321675849
2019-1-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2018-12-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2018-11-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2018-10-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2018-9-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2018-8-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2018-7-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2018-6-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2018-5-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2018-4-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2018-3-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2018-2-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2018-1-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2017-12-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2017-11-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2017-10-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2017-9-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2017-8-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2017-7-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2017-6-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2017-5-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2017-4-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2017-3-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2017-2-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2017-1-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2016-12-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2016-11-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2016-10-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2016-9-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2016-8-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2016-7-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2016-6-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2016-5-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2016-4-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2016-3-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2016-2-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2016-1-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
