,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,nfa_avg,lumpSum_change,npsf_change
2022-12-15,21304160.666666668,16194.0,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",20020252.0,16532.0,1211.0,21675264.0,16032.0,1352.0,22216966.0,16018.0,1387.0,,0.009368681227880371,0.009370260331179603
2020-5-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2020-4-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2020-3-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2020-2-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2020-1-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2019-12-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2019-11-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2019-10-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2019-9-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2019-8-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2019-7-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2019-6-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2019-5-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2019-4-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2019-3-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2019-2-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2019-1-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2018-12-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2018-11-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2018-10-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2018-9-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2018-8-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2018-7-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2018-6-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2018-5-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2018-4-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2018-3-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2018-2-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2018-1-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,1316.6666666666667,,
