,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2022-12-15,17926354.4,16430.2,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",24193259.999999996,16380.0,1477.0,15739644.0,16603.0,948.0,16120114.0,16349.0,986.0,16171650.0,16335.0,990.0,17407104.0,16484.0,1056.0,,0.009374122037551613,0.009374846414704985
2021-2-15,21159935.0,19402.2,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",28475083.0,19279.0,1477.0,18760920.0,19790.0,948.0,18931200.0,19200.0,986.0,19186200.0,19380.0,990.0,20446272.0,19362.0,1056.0,,0.04225660123077879,0.04225488300135383
2021-1-15,20302039.8,18615.6,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",27320069.0,18497.0,1477.0,17999676.000000004,18987.0,948.0,18164092.0,18422.0,986.0,18409050.0,18595.0,990.0,19617312.0,18577.0,1056.0,,0.001248396782628669,0.0012478216905831285
2020-12-15,20276726.4,18592.4,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",27286098.0,18474.0,1477.0,17977872.0,18964.0,948.0,18141414.0,18399.0,986.0,18386280.0,18572.0,990.0,19591968.0,18553.0,1056.0,,0.0035268875785281484,0.003118491901632714
2020-11-15,20205464.0,18534.6,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",27097042.0,18346.0,1477.0,18022428.0,19011.0,948.0,18162120.0,18420.0,986.0,18246690.0,18431.0,990.0,19499040.0,18465.0,1056.0,,,
2020-10-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2020-9-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2020-8-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2020-7-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2020-6-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2020-5-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2020-4-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2020-3-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2020-2-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2020-1-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2019-12-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2019-11-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2019-10-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2019-9-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2019-8-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2019-7-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2019-6-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2019-5-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2019-4-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2019-3-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2019-2-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2019-1-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2018-12-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2018-11-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2018-10-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2018-9-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2018-8-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2018-7-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2018-6-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2018-5-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2018-4-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2018-3-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2018-2-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,,,
2018-1-15,,,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",,,1477.0,,,948.0,,,986.0,,,990.0,,,1056.0,1091.4,,
