,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2022-12-15,84545542.18190674,42431.0,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,84545542.18190674,42431.0,2436.0,,0.009363337761332469,-0.005531206787447007
2021-1-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2020-12-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2020-11-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2020-10-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2020-9-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2020-8-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2020-7-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2020-6-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2020-5-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2020-4-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2020-3-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2020-2-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2020-1-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2019-12-15,103361916.0,42431.0,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,103361916.0,42431.0,2436.0,,-0.005531206787447007,-0.005531206787447007
2019-11-15,103936812.0,42667.0,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,103936812.0,42667.0,2436.0,,0.04668334805220287,0.04668334805220287
2019-10-15,99301104.0,40764.0,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,99301104.0,40764.0,2436.0,,-0.029982866933181085,-0.029982866933181085
2019-9-15,102370464.0,42024.0,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,102370464.0,42024.0,2436.0,,0.004133712456094285,0.004133712456094285
2019-8-15,101949036.0,41851.0,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,101949036.0,41851.0,2436.0,,-0.04015870831613233,-0.04015870831613233
2019-7-15,106214472.0,43602.0,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,106214472.0,43602.0,2436.0,,0.009282192541839374,0.009282192541839374
2019-6-15,105237636.0,43201.0,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,105237636.0,43201.0,2436.0,,0.0017390901080553967,0.0017390901080553967
2019-5-15,105054936.0,43126.0,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,105054936.0,43126.0,2436.0,,,
2019-4-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2019-3-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2019-2-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2019-1-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2018-12-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2018-11-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2018-10-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2018-9-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2018-8-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2018-7-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2018-6-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2018-5-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2018-4-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2018-3-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2018-2-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2018-1-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,2029.5,,
