,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2514153.5,6609.055555555556,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3020313.0000000005,6609.0,457.0,1912196.0,6686.0,286.0,1948157.0,6649.0,293.0,1955394.0,6651.0,294.0,1862468.0,6628.0,281.0,1841112.0000000002,6552.0,281.0,2634192.0,6652.0,396.0,3053268.0,6652.0,459.0,3121272.0,6756.0,462.0,2608734.0,6638.0,393.0,2429568.0,6327.0,384.0,2432256.0,6334.0,384.0,2512620.0,6345.0,396.0,3106730.0,6710.0,463.0,2652153.0,6783.0,391.0,2550528.0,6642.0,384.0,2560128.0,6667.0,384.0,3053674.0,6682.0,457.0,,0.008109605377878193,0.008280643466173965
2022-1-15,3066050.388888889,8058.388888888889,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3707184.0,8112.0,457.0,2326896.0,8136.0,286.0,2375351.0,8107.0,293.0,2379342.0,8093.0,294.0,2265984.0,8064.0,281.0,2256149.0,8029.0,281.0,3206016.0,8096.0,396.0,3777570.0,8230.0,459.0,3798102.0,8221.0,462.0,3174654.0,8078.0,393.0,2956416.0,7699.0,384.0,2959872.0,7708.0,384.0,3057120.0,7720.0,396.0,3785488.0,8176.0,463.0,3227705.0,8255.0,391.0,3103488.0,8082.0,384.0,3116160.0,8115.0,384.0,3715410.0,8130.0,457.0,,0.029693581450804363,0.02969446574097745
2021-12-15,2977633.777777778,7826.0,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3600246.0,7878.0,457.0,2259686.0,7901.0,286.0,2306789.0,7873.0,293.0,2310546.0,7859.0,294.0,2200792.0,7832.0,281.0,2191238.0,7798.0,281.0,3113748.0,7863.0,396.0,3668328.0,7992.0,459.0,3688608.0,7984.0,462.0,3083085.0,7845.0,393.0,2871168.0,7477.0,384.0,2874240.0,7485.0,384.0,2968812.0,7497.0,396.0,3676683.0,7941.0,463.0,3134647.0,8017.0,391.0,3014016.0,7849.0,384.0,3026304.0,7881.0,384.0,3608472.0,7896.0,457.0,,0.0020610363580844115,0.002055783580762416
2021-11-15,2971509.388888889,7809.944444444444,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3594762.0,7866.0,457.0,2256254.0,7889.0,286.0,2303273.0,7861.0,293.0,2307018.0,7847.0,294.0,2197420.0,7820.0,281.0,2187866.0,7786.0,281.0,3108996.0,7851.0,396.0,3662820.0,7980.0,459.0,3683064.0,7972.0,462.0,3078369.0,7833.0,393.0,2866944.0,7466.0,384.0,2870016.0,7474.0,384.0,2964456.0,7486.0,396.0,3670664.0,7928.0,463.0,3129955.0,8005.0,391.0,2980608.0,7762.0,384.0,3021696.0,7869.0,384.0,3602988.0,7884.0,457.0,,-0.010025993144182843,-0.01002795715583471
2021-10-15,3001603.4444444445,7889.055555555556,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3631322.0,7946.0,457.0,2279134.0,7969.0,286.0,2326713.0,7941.0,293.0,2330538.0,7927.0,294.0,2219619.0,7899.0,281.0,2210065.0,7865.0,281.0,3140676.0,7931.0,396.0,3699999.0,8061.0,459.0,3720024.0,8052.0,462.0,3109416.0,7912.0,393.0,2895744.0,7541.0,384.0,2899200.0,7550.0,384.0,2994552.0,7562.0,396.0,3708167.0,8009.0,463.0,3161626.0,8086.0,391.0,3010560.0,7840.0,384.0,3052416.0,7949.0,384.0,3639091.0,7963.0,457.0,,-0.0236934514290994,-0.023765983775608457
2021-9-15,3074447.722222222,8081.111111111111,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3724550.0,8150.0,457.0,2330614.0,8149.0,286.0,2386192.0,8144.0,293.0,2390220.0,8130.0,294.0,2276662.0,8102.0,281.0,2266827.0,8067.0,281.0,3221064.0,8134.0,396.0,3750030.0,8170.0,459.0,3815658.0,8259.0,462.0,3189195.0,8115.0,393.0,2970240.0,7735.0,384.0,2973312.0,7743.0,384.0,3071376.0,7756.0,396.0,3803082.0,8214.0,463.0,3242954.0,8294.0,391.0,3087744.0,8041.0,384.0,3098880.0,8070.0,384.0,3741459.0,8187.0,457.0,,0.02446301784083582,0.024459985773345405
2021-8-15,3001033.388888889,7888.166666666667,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3635435.0,7955.0,457.0,2275130.0,7955.0,286.0,2329350.0,7950.0,293.0,2333184.0,7936.0,294.0,2222148.0,7908.0,281.0,2212875.0,7875.0,281.0,3144240.0,7940.0,396.0,3660525.0,7975.0,459.0,3724644.0,8062.0,462.0,3112953.0,7921.0,393.0,2899200.0,7550.0,384.0,2902656.0,7559.0,384.0,2997720.0,7570.0,396.0,3712334.0,8018.0,463.0,3165536.0,8096.0,391.0,3014016.0,7849.0,384.0,3024768.0,7877.0,384.0,3651887.0,7991.0,457.0,,-0.014288371401819933,-0.014287201916067804
2021-7-15,3044534.8333333335,8002.5,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3687990.0,8070.0,457.0,2308020.0,8070.0,286.0,2363045.0,8065.0,293.0,2366994.0,8051.0,294.0,2254463.0,8023.0,281.0,2244909.0,7989.0,281.0,3190176.0,8056.0,396.0,3713769.0,8091.0,459.0,3778698.0,8179.0,462.0,3158148.0,8036.0,393.0,2941056.0,7659.0,384.0,2944512.0,7668.0,384.0,3041280.0,7680.0,396.0,3766042.0,8134.0,463.0,3211674.0,8214.0,391.0,3057408.0,7962.0,384.0,3068544.0,7991.0,384.0,3704899.0,8107.0,457.0,,0.000554433109627217,0.0003819709702062024
2021-6-15,3042847.777777778,7999.444444444444,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3683420.0,8060.0,457.0,2313740.0,8090.0,286.0,2367733.0,8081.0,293.0,2364054.0,8041.0,294.0,2251372.0,8012.0,281.0,2255306.0,8026.0,281.0,3198096.0,8076.0,396.0,3708720.0,8080.0,459.0,3773616.0,8168.0,462.0,3154218.0,8026.0,393.0,2937216.0,7649.0,384.0,2940672.0,7658.0,384.0,3037320.0,7670.0,396.0,3761412.0,8124.0,463.0,3207373.0,8203.0,391.0,3053568.0,7952.0,384.0,3063552.0,7978.0,384.0,3699872.0,8096.0,457.0,,,
2021-5-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2021-4-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2021-3-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2021-2-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2021-1-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2020-12-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2020-11-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2020-10-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2020-9-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2020-8-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2020-7-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2020-6-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2020-5-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2020-4-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2020-3-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2020-2-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2020-1-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2019-12-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2019-11-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2019-10-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2019-9-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2019-8-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2019-7-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2019-6-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2019-5-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2019-4-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2019-3-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2019-2-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2019-1-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2018-12-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2018-11-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2018-10-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2018-9-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2018-8-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2018-7-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2018-6-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2018-5-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2018-4-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2018-3-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2018-2-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,,,
2018-1-15,,,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",,,457.0,,,286.0,,,293.0,,,294.0,,,281.0,,,281.0,,,396.0,,,459.0,,,462.0,,,393.0,,,384.0,,,384.0,,,396.0,,,463.0,,,391.0,,,384.0,,,384.0,,,457.0,380.27777777777777,,
