,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4658562.875,14993.25,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4533825.0,14865.0,305.0,4320278.0,15266.0,283.0,4321127.0,15269.0,283.0,4765625.000000001,15625.0,305.0,5016320.0,15676.0,320.0,4912992.0,14622.0,336.0,5018496.0,14936.0,336.0,4379840.0,13687.0,320.0,,0.008858550752617766,0.008856703085968087
2020-1-15,4668957.0,15037.125,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4745800.0,15560.0,305.0,4499700.0,15900.0,283.0,4410838.0,15586.0,283.0,4515830.0,14806.0,305.0,4585920.0,14331.0,320.0,5098128.0,15173.0,336.0,4920720.0,14645.0,336.0,4574720.0,14296.0,320.0,,-0.021734882421019952,-0.021744964259866162
2019-12-15,4772690.875,15371.375,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4852855.0,15911.0,305.0,4599599.0,16253.0,283.0,4509888.0,15936.0,283.0,4616785.0,15137.0,305.0,4688000.0,14650.0,320.0,5208000.0,15500.0,336.0,5029920.0,14970.0,336.0,4676480.0,14614.0,320.0,,0.0006987837592926649,0.000650983391786264
2019-11-15,4769358.125,15361.375,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4857430.0,15926.0,305.0,4602146.0,16262.0,283.0,4513567.0,15949.0,283.0,4619530.0,15146.0,305.0,4642880.0,14509.0,320.0,5207664.0,15499.0,336.0,5032608.0,14978.0,336.0,4679040.0,14622.0,320.0,,0.035069965605877274,0.03506333804999673
2019-10-15,4607764.0,14841.0,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4694255.0,15391.0,305.0,4445930.0,15710.0,283.0,4361596.0,15412.0,283.0,4463675.0,14635.0,305.0,4484160.0,14013.0,320.0,5029920.0,14970.0,336.0,4862256.0,14471.0,336.0,4520320.0,14126.0,320.0,,-0.025095270583903484,-0.025125628140703515
2019-9-15,4726373.625,15223.5,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4815035.0,15787.0,305.0,4569035.0,16145.0,283.0,4473381.0,15807.0,283.0,4578050.0,15010.0,305.0,4596800.0,14365.0,320.0,5157600.0,15350.0,336.0,4985568.0,14838.0,336.0,4635520.0,14486.0,320.0,,0.009254657837987956,0.009131133685763126
2019-8-15,4683033.75,15085.75,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4760440.0,15608.0,305.0,4516397.0,15959.0,283.0,4489795.0,15865.0,283.0,4525590.0,14838.0,305.0,4533120.0,14166.0,320.0,5130048.0,15268.0,336.0,4927440.0,14665.0,336.0,4581440.0,14317.0,320.0,,-0.05872878047162711,-0.05837650583609011
2019-7-15,4975222.5,16021.0,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",5008100.0,16420.0,305.0,4750438.0,16786.0,283.0,4697234.0,16598.0,283.0,4760440.0,15608.0,305.0,4766080.0,14894.0,320.0,5394480.0,16055.0,336.0,5182128.0,15423.0,336.0,5242880.0,16384.0,320.0,,0.02600375284045975,0.02531119004191873
2019-6-15,4849127.0,15625.5,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4925445.0,16149.0,305.0,4671481.0,16507.0,283.0,4618277.0,16319.0,283.0,4681445.0,15349.0,305.0,4684480.0,14639.0,320.0,4959360.0,14760.0,336.0,5094768.0,15163.0,336.0,5157760.0,16118.0,320.0,,-0.004483428273013068,-0.0038569424964937093
2019-5-15,4870965.625,15686.0,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4966925.0,16285.0,305.0,4432063.0,15661.0,283.0,4655350.0,16450.0,283.0,4854075.0,15915.0,305.0,4720960.0,14753.0,320.0,5000016.0,14881.0,336.0,5136096.0,15286.0,336.0,5202240.0,16257.0,320.0,,0.024566527447720476,0.024659502890550966
2019-4-15,4754172.125,15308.5,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4833335.0,15847.0,305.0,4312920.0,15240.0,283.0,4528566.0,16002.0,283.0,4722620.0,15484.0,305.0,4712320.0,14726.0,320.0,4864272.0,14477.0,336.0,4995984.0,14869.0,336.0,5063360.0,15823.0,320.0,,0.02595580689196031,0.02572950517605288
2019-3-15,4633895.625,14924.5,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4722315.0,15483.0,305.0,4213870.0,14890.0,283.0,4423290.0,15630.0,283.0,4731770.0,15514.0,305.0,4406080.0,13769.0,320.0,4751712.0,14142.0,336.0,4879728.0,14523.0,336.0,4942400.0,15445.0,320.0,,0.050859609879992274,0.05085461810628589
2019-2-15,4409623.875,14202.25,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4494785.0,14737.0,305.0,4010959.0,14173.0,283.0,4209059.0,14873.0,283.0,4503020.0,14764.0,305.0,4192960.0,13103.0,320.0,4521888.0,13458.0,336.0,4643520.0,13820.0,336.0,4700800.0,14690.0,320.0,,0.02781924594869767,0.028003221049012428
2019-1-15,4290271.75,13815.375,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4419755.0,14491.0,305.0,3943888.0,13936.0,283.0,4137177.0,14619.0,283.0,4072970.0,13354.0,305.0,4121280.0,12879.0,320.0,4445280.0,13230.0,336.0,4564224.0,13584.0,336.0,4617600.0,14430.0,320.0,,0.029076032808176056,0.0294232703699564
2018-12-15,4169052.25,13420.5,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4276405.0,14021.0,305.0,3816255.0,13485.0,283.0,4001620.0,14140.0,283.0,3941210.0,12922.0,305.0,3986560.0,12458.0,320.0,4300128.0,12798.0,336.0,4566240.0,13590.0,336.0,4464000.0,13950.0,320.0,,-0.048743254196221275,-0.04884077358540717
2018-11-15,4382678.25,14109.625,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4502410.0,14762.0,305.0,4018034.0,14198.0,283.0,4211889.0,14883.0,283.0,4149525.0,13605.0,305.0,4195840.0,13112.0,320.0,4481904.0,13339.0,336.0,4806144.0,14304.0,336.0,4695680.0,14674.0,320.0,,-0.0550744668597154,-0.055082582016960036
2018-10-15,4638120.25,14932.125,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4766235.0,15627.0,305.0,4253490.0,15030.0,283.0,4457250.0,15750.0,283.0,4392915.0,14403.0,305.0,4440320.0,13876.0,320.0,4742976.0,14116.0,336.0,5085696.0,15136.0,336.0,4966080.0,15519.0,320.0,,-0.044485435373105564,-0.04474138758276558
2018-9-15,4854055.0,15631.5,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",5006880.0,16416.0,305.0,4468004.0,15788.0,283.0,4680537.0,16539.0,283.0,4614955.0,15131.0,305.0,4663040.0,14572.0,320.0,4980864.0,14824.0,336.0,5206320.0,15495.0,336.0,5211840.0,16287.0,320.0,,-0.0299627744438955,-0.029973005678116005
2018-8-15,5003988.375,16114.5,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",5162735.0,16927.0,305.0,4607240.0,16280.0,283.0,4826282.0,17054.0,283.0,4758610.0,15602.0,305.0,4806400.0,15020.0,320.0,5134080.0,15280.0,336.0,5367600.0,15975.0,336.0,5368960.0,16778.0,320.0,,0.005849276382077884,0.005851785965076628
2018-7-15,4974888.875,16020.75,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",5120035.0,16787.0,305.0,4569318.0,16146.0,283.0,4787228.0,16916.0,283.0,4719570.0,15474.0,305.0,4813760.0,15043.0,320.0,5090064.0,15149.0,336.0,5267136.0,15676.0,336.0,5432000.0,16975.0,320.0,,0.04488295211756288,0.044556190351999536
2018-6-15,4761192.5,15337.375,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4936425.0,16185.0,305.0,4346597.0,15359.0,283.0,4679688.0,16536.0,283.0,4498750.0,14750.0,305.0,4586560.0,14333.0,320.0,4850832.0,14437.0,336.0,5019168.0,14938.0,336.0,5171520.0,16161.0,320.0,,0.007910379411262047,0.008034768035096729
2018-5-15,4723825.25,15215.125,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4917210.0,16122.0,305.0,4330466.0,15302.0,283.0,4660727.0,16469.0,283.0,4481975.0,14695.0,305.0,4567680.0,14274.0,320.0,4830336.0,14376.0,336.0,5200608.0,15478.0,336.0,4801600.0,15005.0,320.0,,0.027217933139968897,0.026956110895499652
2018-4-15,4598659.25,14815.75,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4802530.0,15746.0,305.0,4230284.0,14948.0,283.0,4552055.0,16085.0,283.0,4378885.0,14357.0,305.0,4460800.0,13940.0,320.0,4716432.0,14037.0,336.0,4958688.0,14758.0,336.0,4689600.0,14655.0,320.0,,0.01663144034149977,0.01699772620018014
2018-3-15,4523428.125,14568.125,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4701270.0,15414.0,305.0,4140290.0,14630.0,283.0,4456684.0,15748.0,283.0,4288605.0,14061.0,305.0,4367040.0,13647.0,320.0,4818912.0,14342.0,336.0,4822944.0,14354.0,336.0,4591680.0,14349.0,320.0,,0.01416740501943492,0.014166746434383093
2018-2-15,4460238.125,14364.625,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4635390.0,15198.0,305.0,4081426.0000000005,14422.0,283.0,4394707.0,15529.0,283.0,4230350.0,13870.0,305.0,4305920.0,13456.0,320.0,4751040.0,14140.0,336.0,4755072.0,14152.0,336.0,4528000.0,14150.0,320.0,,0.032916940658731964,0.03295251278640188
2018-1-15,4318099.5,13906.375,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4406335.0,14447.0,305.0,3961717.0,13999.0,283.0,4267640.0,15080.0,283.0,4108960.0,13472.0,305.0,4180480.0,13064.0,320.0,4611936.0,13726.0,336.0,4610928.0,13723.0,336.0,4396800.0,13740.0,320.0,,0.014473683862760378,0.01429574318718485
2017-12-15,4256492.375,13710.375,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4333135.0,14207.0,305.0,3962283.0,14001.0,283.0,4198305.0,14835.0,283.0,4043080.0,13256.0,305.0,4112640.0,12852.0,320.0,4538016.0,13506.0,336.0,4539360.0,13510.0,336.0,4325120.0,13516.0,320.0,,0.03535740311514468,0.035370412324422285
2017-11-15,4111133.375,13242.0,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4183990.0,13718.0,305.0,3825594.0,13518.0,283.0,4054824.0,14328.0,283.0,3904915.0,12803.0,305.0,3972160.0,12413.0,320.0,4383456.0,13046.0,336.0,4387488.0,13058.0,336.0,4176640.0,13052.0,320.0,,0.00735194821849694,0.007475035663338181
2017-10-15,4081129.125,13143.75,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4152575.0,13615.0,305.0,3790218.9999999995,13393.0,283.0,4018034.0,14198.0,283.0,3868925.0000000005,12685.0,305.0,3936320.0,12301.0,320.0,4344816.0,12931.0,336.0,4399584.0,13094.0,336.0,4138560.0,12933.0,320.0,,0.006282749848760316,0.006229724686360738
2017-9-15,4055648.5,13062.375,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4128480.0,13536.0,305.0,3768993.9999999995,13318.0,283.0,3996526.0,14122.0,283.0,3846660.0,12612.0,305.0,3915200.0,12235.0,320.0,4322640.0,12865.0,336.0,4350528.0,12948.0,336.0,4116160.0,12863.0,320.0,,-0.0003835460973329319,-0.00040175624874450033
2017-8-15,4057204.625,13067.625,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4198935.0,13767.0,305.0,3757957.0,13279.0,283.0,3985772.0,14084.0,283.0,3834765.0,12573.0,305.0,3921280.0,12254.0,320.0,4311552.0,12832.0,336.0,4341456.0,12921.0,336.0,4105919.9999999995,12831.0,320.0,,0.0841949346706623,0.08437146680220309
2017-7-15,3742135.75,12050.875,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",3645970.0,11954.0,305.0,3495616.0,12352.0,283.0,3708431.9999999995,13104.0,283.0,3566060.0000000005,11692.0,305.0,3647680.0,11399.0,320.0,4010832.0,11937.0,336.0,4040736.0,12026.0,336.0,3821760.0,11943.0,320.0,,-0.04560634921646989,-0.04544689446221173
2017-6-15,3920956.25,12624.625,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",3812499.9999999995,12500.0,305.0,3655228.0,12916.0,283.0,3878515.0,13705.0,283.0,3728014.9999999995,12223.0,305.0,3801280.0,11879.0,320.0,4194624.0,12484.0,336.0,4298448.0,12793.0,336.0,3999040.0,12497.0,320.0,,0.008227683545015463,0.008668817225778724
2017-5-15,3888959.125,12516.125,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",3638040.0,11928.0,305.0,3597779.0,12713.0,283.0,3859837.0,13639.0,283.0,3709105.0,12161.0,305.0,3782720.0,11821.0,320.0,4174464.0000000005,12424.0,336.0,4367328.0,12998.0,336.0,3982400.0,12445.0,320.0,,0.001683226713413255,0.0016806554556276776
2017-4-15,3882424.125,12495.125,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",3631025.0,11905.0,305.0,3592968.0,12696.0,283.0,3853328.0,13616.0,283.0,3701480.0,12136.0,305.0,3776000.0,11800.0,320.0,4167408.0000000005,12403.0,336.0,4359264.0,12974.0,336.0,3977920.0000000005,12431.0,320.0,,0.02841990987011367,0.028765205936232885
2017-3-15,3775135.125,12145.75,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",3541965.0,11613.0,305.0,3402791.9999999995,12024.0,283.0,3759655.0,13285.0,283.0,3610285.0,11837.0,305.0,3683840.0,11512.0,320.0,4065935.9999999995,12101.0,336.0,4253088.0,12658.0,336.0,3883520.0,12136.0,320.0,,0.03862333410092411,0.03826467916867027
2017-2-15,3634749.0,11698.125,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",3447110.0,11302.0,305.0,3312798.0,11706.0,283.0,3659190.0,12930.0,283.0,3512989.9999999995,11518.0,305.0,3585600.0,11205.0,320.0,3957744.0,11779.0,336.0,4119360.0000000005,12260.0,336.0,3483199.9999999995,10885.0,320.0,,0.02099379120576428,0.020990388496743506
2017-1-15,3560010.875,11457.625,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",3375740.0,11068.0,305.0,3245727.0000000005,11469.0,283.0,3584478.0,12666.0,283.0,3439789.9999999995,11278.0,305.0,3512000.0,10975.0,320.0,3876768.0,11538.0,336.0,4035024.0,12009.0,336.0,3410560.0,10658.0,320.0,,0.05114199881126824,0.051073881683809885
2016-12-15,3386803.0,10900.875,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",3215310.0,10542.0,305.0,3087247.0,10909.0,283.0,3414678.0,12066.0,283.0,3276005.0,10741.0,305.0,3345920.0,10456.0,320.0,3693312.0,10992.0,336.0,3814271.9999999995,11352.0,336.0,3247680.0000000005,10149.0,320.0,,-0.028501214246910322,-0.028377565345277134
2016-11-15,3486162.875,11219.25,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",3294915.0,10803.0,305.0,3164506.0,11182.0,283.0,3499295.0,12365.0,283.0,3355915.0,11003.0,305.0,3554560.0,11108.0,320.0,3784704.0,11264.0,336.0,3908688.0,11633.0,336.0,3326720.0,10396.0,320.0,,0.019589065725253096,0.019584232647960942
2016-10-15,3419184.25,11003.75,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",3232390.0,10598.0,305.0,3104792.9999999995,10971.0,283.0,3432224.0000000005,12128.0,283.0,3290035.0,10787.0,305.0,3487040.0,10897.0,320.0,3712128.0,11048.0,336.0,3833424.0,11409.0,336.0,3261440.0,10192.0,320.0,,0.00203484315860325,0.002037540836188567
2016-9-15,3412240.875,10981.375,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",3226900.0000000005,10580.0,305.0,3098001.0,10947.0,283.0,3425432.0,12104.0,283.0,3282409.9999999995,10762.0,305.0,3480640.0,10877.0,320.0,3705072.0,11027.0,336.0,3826032.0,11387.0,336.0,3253440.0000000005,10167.0,320.0,,0.07847961228360667,0.07820419985517746
2016-8-15,3163936.375,10184.875,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",3003335.0,9847.0,305.0,2881789.0,10183.0,283.0,3187429.0,11263.0,283.0,3053050.0,10010.0,305.0,3239040.0000000005,10122.0,320.0,3447360.0,10260.0,336.0,3473567.9999999995,10338.0,336.0,3025920.0,9456.0,320.0,,0.024529664964128894,0.024699742187008766
2016-7-15,3088184.25,9939.375,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",2924035.0,9587.0,305.0,2804247.0,9909.0,283.0,3137621.0000000005,11087.0,283.0,2909395.0,9539.0,305.0,3153280.0,9854.0,320.0,3355968.0,9988.0,336.0,3456768.0,10288.0,336.0,2964160.0,9263.0,320.0,,-0.009679619765958547,-0.00967717829920789
2016-6-15,3118368.875,10036.5,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",2953315.0,9683.0,305.0,2830849.0,10003.0,283.0,3168468.0,11196.0,283.0,2937455.0,9631.0,305.0,3184640.0,9952.0,320.0,3388560.0000000005,10085.0,336.0,3490704.0,10389.0,336.0,2992960.0,9353.0,320.0,,0.00477995388563679,0.004390738169399944
