,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,17200838.666666668,15206.5,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",21158574.0,15861.0,1334.0,20263572.0,15156.0,1337.0,14816260.0,14540.0,1019.0,15640653.0,15141.0,1033.0,15103493.0,14621.0,1033.0,16222480.0,15920.0,1019.0,,0.009370452308534949,0.009370298256482723
2022-1-15,20926000.833333332,18499.5,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",25743532.0,19298.0,1334.0,24655617.0,18441.0,1337.0,18026110.0,17690.0,1019.0,19030959.0,18423.0,1033.0,18375004.0,17788.0,1033.0,19724783.0,19357.0,1019.0,,0.029705310876579682,0.029704531750081253
2021-12-15,20322320.0,17965.833333333332,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",25000494.0,18741.0,1334.0,23944333.0,17909.0,1337.0,17505401.0,17179.0,1019.0,18482436.0,17892.0,1033.0,17845075.0,17275.0,1033.0,19156181.0,18799.0,1019.0,,0.0015218075286622668,0.0015237245774915031
2021-11-15,20291440.333333332,17938.5,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",24963142.0,18713.0,1334.0,23908234.0,17882.0,1337.0,17478907.0,17153.0,1019.0,18453512.0,17864.0,1033.0,17818217.0,17249.0,1033.0,19126630.0,18770.0,1019.0,,-0.010034910339427161,-0.010034767572340453
2021-10-15,20497127.166666668,18120.333333333332,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",25216602.0,18903.0,1334.0,24150231.0,18063.0,1337.0,17656213.0,17327.0,1019.0,18640485.0,18045.0,1033.0,17998992.0,17424.0,1033.0,19320240.0,18960.0,1019.0,,-0.02501032543826398,-0.025010985463317703
2021-9-15,21022917.166666668,18585.166666666668,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",25863592.0,19388.0,1334.0,24769262.0,18526.0,1337.0,18108649.0,17771.0,1019.0,19118764.0,18508.0,1033.0,18460743.0,17871.0,1033.0,19816493.0,19447.0,1019.0,,0.02444713540628829,0.024446485989894295
2021-8-15,20521231.833333332,18141.666666666668,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",25245950.0,18925.0,1334.0,24178308.0,18084.0,1337.0,17676593.0,17347.0,1019.0,18663211.0,18067.0,1033.0,18019652.0,17444.0,1033.0,19343677.0,18983.0,1019.0,,-0.014272386191941155,-0.014272001159147174
2021-7-15,20818359.5,18404.333333333332,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",25611466.0,19199.0,1334.0,24528602.0,18346.0,1337.0,17932362.0,17598.0,1019.0,18932824.0,18328.0,1033.0,18281001.0,17697.0,1033.0,19623902.0,19258.0,1019.0,,0.0013058483627086392,0.0013057434576813076
2021-6-15,20791209.333333332,18380.333333333332,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",25578116.0,19174.0,1334.0,24496514.0,18322.0,1337.0,17908925.0,17575.0,1019.0,18908032.0,18304.0,1033.0,18257242.0,17674.0,1033.0,19598427.0,19233.0,1019.0,,-0.003155499767616421,-0.0031546311612478117
2021-5-15,20857023.666666668,18438.5,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",25659490.0,19235.0,1334.0,24574060.0,18380.0,1337.0,17965989.0,17631.0,1019.0,18967946.0,18362.0,1033.0,18315090.0,17730.0,1033.0,19659567.0,19293.0,1019.0,,0.01772658411343464,0.01772703856343849
2021-4-15,20493739.666666668,18117.333333333332,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",25212600.0,18900.0,1334.0,24146220.0,18060.0,1337.0,17653156.0,17324.0,1019.0,18637386.0,18042.0,1033.0,17995893.0,17421.0,1033.0,19317183.0,18957.0,1019.0,,0.013671959224749175,0.013670527238478725
2021-3-15,20217329.166666668,17873.0,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",24872430.0,18645.0,1334.0,23819992.0,17816.0,1337.0,17414710.0,17090.0,1019.0,18386367.0,17799.0,1033.0,17753138.0,17186.0,1033.0,19057338.0,18702.0,1019.0,,-0.014275064022483575,-0.014275077901664601
2021-2-15,20510112.333333332,18131.833333333332,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",25232610.0,18915.0,1334.0,24164938.0,18074.0,1337.0,17666403.0,17337.0,1019.0,18652881.0,18057.0,1033.0,18010355.0,17435.0,1033.0,19333487.0,18973.0,1019.0,,0.042227196662181,0.04222909860801072
2021-1-15,19679118.333333332,17397.166666666668,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",24210766.0,18149.0,1334.0,23186254.000000004,17342.0,1337.0,16951065.0,16635.0,1019.0,17896725.0,17325.0,1033.0,17280024.0,16728.0,1033.0,18549876.0,18204.0,1019.0,,0.0012489461208875507,0.001246966514153236
2020-12-15,19654570.833333332,17375.5,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",24180084.0,18126.0,1334.0,23156840.0,17320.0,1337.0,16929666.0,16614.0,1019.0,17875032.0,17304.0,1033.0,17259364.0,16708.0,1033.0,18526439.0,18181.0,1019.0,,-0.0017570576779556424,-0.0018669577205882026
2020-11-15,19689165.833333332,17408.0,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",24154738.0,18107.0,1334.0,23214331.0,17363.0,1337.0,16971445.0,16655.0,1019.0,17919451.0,17347.0,1033.0,17301717.0,16749.0,1033.0,18573313.0,18227.0,1019.0,,-0.0012307093834960092,-0.003510914364219131
2020-10-15,19713427.333333332,17469.333333333332,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",22205764.0,16646.0,1334.0,24107447.0,18031.0,1337.0,17624624.0,17296.0,1019.0,18608462.0,18014.0,1033.0,17968002.0,17394.0,1033.0,17766265.0,17435.0,1019.0,,,
2020-9-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2020-8-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2020-7-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2020-6-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2020-5-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2020-4-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2020-3-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2020-2-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2020-1-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2019-12-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2019-11-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2019-10-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2019-9-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2019-8-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2019-7-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2019-6-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2019-5-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2019-4-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2019-3-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2019-2-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2019-1-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2018-12-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2018-11-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2018-10-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2018-9-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2018-8-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2018-7-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2018-6-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2018-5-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2018-4-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2018-3-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2018-2-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,,,
2018-1-15,,,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",,,1334.0,,,1337.0,,,1019.0,,,1033.0,,,1033.0,,,1019.0,1129.1666666666667,,
