,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,9479893.333333334,19300.666666666668,6,56879360.0,115804.0,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",9705850.0,17647.0,550.0,8479494.0,19674.0,431.0,12755166.0,17642.0,723.0,7026903.0,21489.0,327.0,12192493.0,17393.0,701.0,6719454.0,21959.0,306.0,-0.0009616028409542565,-0.0009662169156974265
2017-3-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2017-2-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2017-1-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2016-12-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2016-11-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2016-10-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2016-9-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2016-8-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2016-7-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2016-6-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2016-5-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2016-4-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2016-3-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2016-2-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2016-1-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
