,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,12076715.0,12376.666666666666,3,36230145.0,37130.0,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",10144080.0,13140.0,772.0,12629688.0,9929.0,1272.0,13456377.0,14061.0,957.0,-0.00027993705348383635,-0.0002692514808831925
2018-1-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2017-12-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2017-11-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2017-10-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2017-9-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2017-8-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2017-7-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2017-6-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2017-5-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2017-4-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2017-3-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2017-2-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2017-1-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2016-12-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2016-11-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2016-10-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2016-9-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2016-8-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2016-7-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2016-6-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2016-5-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2016-4-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2016-3-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2016-2-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
2016-1-15,,,3,,,3001,"WETLAND SEASONS PARK(Block V5),WETLAND PARK RD|WETLAND SEASONS PARKV5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,
