,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,nfa_avg,lumpSum_change,npsf_change
2020-12-15,11801466.333333334,12094.0,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",9906304.0,12832.0,772.0,12342216.0,9703.0,1272.0,13155879.0,13747.0,957.0,,-0.005282054595925012,-0.00529129540781359
2019-3-15,11550084.333333334,11843.0,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",9697864.0,12562.0,772.0,12005136.0,9438.0,1272.0,12947253.0,13529.0,957.0,,0.02779069386666455,0.02780027771349225
2019-2-15,11237778.666666666,11522.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",9434612.0,12221.0,772.0,11680776.0,9183.0,1272.0,12597948.0,13164.0,957.0,,0.017256926582227772,0.01727435920072984
2019-1-15,11047139.0,11327.0,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",9273264.0,12012.0,772.0,11483616.0,9028.0,1272.0,12384537.0,12941.0,957.0,,0.014918417859448585,0.014933843075176867
2018-12-15,10884755.666666666,11160.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",9135848.0,11834.0,772.0,11315712.0,8896.0,1272.0,12202707.0,12751.0,957.0,,,
2018-11-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2018-10-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2018-9-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2018-8-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2018-7-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2018-6-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2018-5-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2018-4-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2018-3-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2018-2-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2018-1-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2017-12-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2017-11-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2017-10-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2017-9-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2017-8-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2017-7-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2017-6-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2017-5-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2017-4-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2017-3-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2017-2-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2017-1-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2016-12-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2016-11-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2016-10-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2016-9-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2016-8-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2016-7-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2016-6-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2016-5-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2016-4-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2016-3-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2016-2-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,,,
2016-1-15,,,"WETLAND SEASONS PARK(Phase 2),Block V5,WETLAND PARK RD|WETLAND SEASONS PARK2期,V5座,濕地公園路",,,772.0,,,1272.0,,,957.0,1000.3333333333334,,
