,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6456997.428571428,13733.42857142857,7,45198982.0,96134.0,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",6328051.0,15031.0,421.0,6457620.0,14610.0,442.0,6459624.0,14748.0,438.0,5963135.0,14369.0,415.0,6302674.0,12334.0,511.0,7041798.0,12162.0,579.0,6646080.0,12880.0,516.0,-0.0004280343171400025,-0.000447092340164601
2018-5-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-4-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-3-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-2-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-1-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-12-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-11-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-10-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-9-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-8-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-7-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-6-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-5-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-4-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-3-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-2-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-1-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-12-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-11-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-10-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-9-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-8-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-7-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-6-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-5-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-4-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-3-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-2-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-1-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 18),WETLAND PARK RD|WETLAND SEASONS PARK18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
