,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6461669.142857143,13744.57142857143,7,45231684.0,96212.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6361310.0,15110.0,421.0,6458062.0,14611.0,442.0,6460062.0,14749.0,438.0,5962720.0,14368.0,415.0,6301652.0,12332.0,511.0,7041798.0,12162.0,579.0,6646080.0,12880.0,516.0,-0.0004205458503926396,-0.00043634550252458215
2019-1-15,6006595.0,12779.42857142857,7,42046165.0,89456.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",5927680.0,14080.0,421.0,6012526.0,13603.0,442.0,6014178.0,13731.0,438.0,5555190.0,13386.0,415.0,5843285.0,11435.0,511.0,6536910.0,11290.0,579.0,6156396.0,11931.0,516.0,0.0562391242036977,0.05621347186964987
2018-12-15,5686775.714285715,12099.285714285714,7,39807430.0,84695.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",5613614.0,13334.0,421.0,5693402.0,12881.0,442.0,5694876.0,13002.0,438.0,5260540.0,12676.0,415.0,5530553.0,10823.0,511.0,6187773.0,10687.0,579.0,5826672.0,11292.0,516.0,,
2018-11-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-10-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-9-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-8-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-7-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-6-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-5-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-4-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-3-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-2-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2018-1-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-12-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-11-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-10-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-9-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-8-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-7-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-6-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-5-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-4-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-3-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-2-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2017-1-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-12-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-11-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-10-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-9-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-8-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-7-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-6-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-5-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-4-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-3-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-2-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
2016-1-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,
