,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,6938294.666666667,14292.333333333334,6,41629768.0,85754.0,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",11753280.0,15264.0,770.0,5214410.000000001,14093.0,370.0,6569094.0,14343.0,458.0,7340735.0,13721.0,535.0,5416289.0,14291.0,379.0,5335960.0,14042.0,380.0,-0.04993770244992146,-0.049932972158517996
2017-10-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2017-9-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2017-8-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2017-7-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2017-6-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2017-5-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2017-4-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2017-3-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2017-2-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2017-1-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2016-12-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2016-11-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2016-10-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2016-9-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2016-8-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2016-7-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2016-6-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2016-5-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2016-4-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2016-3-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2016-2-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
2016-1-15,,,6,,,2892,"MARINI(Block 3B,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3B座(MARINI),1 康城路",,,770.0,,,370.0,,,458.0,,,535.0,,,379.0,,,380.0,,
