,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_change,npsf_change
2019-12-15,4492566.833333333,8371.333333333334,6,26955401.0,50228.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",3864676.0,8018.0,482.0,4551855.0,8085.0,563.0,4898100.0,8700.0,563.0,4307877.0,8919.0,483.0,4787189.0,8503.0,563.0,4545704.0,8003.0,568.0,-0.023597509517020665,-0.02359939349169926
2019-1-15,4405281.5,8208.666666666666,6,26431689.0,49252.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",3789484.0,7862.0,482.0,4462901.0,7927.0,563.0,4803516.0,8532.0,563.0,4223835.0,8745.0,483.0,4694857.0,8339.0,563.0,4457096.0,7847.0,568.0,-0.07748768796994132,-0.077487872033565
2018-12-15,4775309.166666667,8898.166666666666,6,28651855.0,53389.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",4107604.0,8522.0,482.0,4837859.0,8593.0,563.0,5206624.0,9248.0,563.0,4578840.0,9480.0,483.0,5089520.0,9040.0,563.0,4831408.0,8506.0,568.0,0.03508965174613188,0.035091800926733585
2018-11-15,4613425.666666667,8596.5,6,27680554.0,51579.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",3968306.0,8233.0,482.0,4674026.0,8302.0,563.0,5030405.0,8935.0,563.0,4423314.0,9158.0,483.0,4916679.0,8733.0,563.0,4667824.0,8218.0,568.0,0.03947851368062283,0.03948004836759367
2018-10-15,4438211.666666667,8270.0,6,26629270.0,49620.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",3817440.0,7920.0,482.0,4496118.0,7986.0,563.0,4839548.0,8596.0,563.0,4255230.0,8810.0,483.0,4730326.0,8402.0,563.0,4490608.0,7906.0,568.0,0.0037039689419924304,0.003701680927240769
2018-9-15,4421833.333333333,8239.5,6,26531000.0,49437.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",3803462.0,7891.0,482.0,4479791.0,7957.0,563.0,4821532.0,8564.0,563.0,4239774.0,8778.0,483.0,4712873.0,8371.0,563.0,4473568.0,7876.0,568.0,-0.06729879839356456,-0.06729680778809144
2018-8-15,4740889.5,8834.0,6,28445337.0,53004.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",4077720.0,8460.0,482.0,4802953.0,8531.0,563.0,5169466.0,9182.0,563.0,4545513.0,9411.0,483.0,5052925.0,8975.0,563.0,4796760.0,8445.0,568.0,0.014705366156436472,0.014702504020216
2018-7-15,4672183.333333333,8706.0,6,28033100.0,52236.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",4018916.0,8338.0,482.0,4733141.0,8407.0,563.0,5094587.0,9049.0,563.0,4479825.0,9275.0,483.0,4979735.0,8845.0,563.0,4726896.0,8322.0,568.0,-0.020116294405049362,-0.02020145180350008
2018-6-15,4768099.833333333,8885.5,6,28608599.0,53313.0,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",4109050.0,8525.0,482.0,4839548.0,8596.0,563.0,5209438.999999999,9253.0,563.0,4580289.0,9483.0,483.0,5037161.000000001,8947.0,563.0,4833112.0,8509.0,568.0,,
2018-5-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2018-4-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2018-3-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2018-2-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2018-1-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2017-12-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2017-11-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2017-10-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2017-9-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2017-8-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2017-7-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2017-6-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2017-5-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2017-4-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2017-3-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2017-2-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2017-1-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2016-12-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2016-11-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2016-10-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2016-9-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2016-8-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2016-7-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2016-6-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2016-5-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2016-4-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2016-3-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2016-2-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
2016-1-15,,,6,,,3222,"KWUN TAK COURT(Block A),SHEUNG LOK ST|冠德苑A座,常樂街",,,482.0,,,563.0,,,563.0,,,483.0,,,563.0,,,568.0,,
