,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,lumpSum_change,npsf_change
2019-12-15,2510125.947368421,6763.421052631579,19,47692393.0,128505.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2602611.0,6831.0,381.0,2487297.0,6329.0,393.0,2122758.0,7029.0,302.0,2066475.0,7005.0,295.0,2058215.0000000002,6977.0,295.0,3065661.0,6679.0,459.0,3007750.0,6625.0,454.0,2973246.0,6549.0,454.0,3059960.0,6740.0,454.0,3037743.0,6561.0,463.0,2723912.0,6844.0,398.0,2545080.0,6680.0,381.0,1984140.0,6570.0,302.0,2481450.0,6990.0,355.0,2469025.0,6955.0,355.0,2065056.0,7024.0,294.0,2062410.0,7015.0,294.0,2341768.0,6578.0,356.0,2537836.0,6524.0,389.0,-0.0009583322283467366,-0.0009562459184624394
2019-1-15,2281501.1578947366,6147.315789473684,19,43348522.0,116799.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2366009.9999999995,6210.0,381.0,2261322.0,5754.0,393.0,1929780.0,6390.0,302.0,1879150.0,6370.0,295.0,1871185.0,6343.0,295.0,2787048.0,6072.0,459.0,2734442.0,6023.0,454.0,2703116.0,5954.0,454.0,2782112.0,6128.0,454.0,2761795.0,5965.0,463.0,2476356.0,6222.0,398.0,2317623.0,6083.0,381.0,1804148.0,5974.0,302.0,2256025.0,6355.0,355.0,2229755.0,6281.0,355.0,1877484.0,6386.0,294.0,1875132.0,6378.0,294.0,2128880.0,5980.0,356.0,2307159.0,5931.0,389.0,0.03648139605486178,0.03648125798665336
2018-12-15,2201198.3684210526,5930.9473684210525,19,41822769.0,112688.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2282571.0,5991.0,381.0,2181543.0,5551.0,393.0,1861830.0,6165.0,302.0,1813070.0,6146.0,295.0,1805400.0,6120.0,295.0,2689281.0,5859.0,459.0,2638194.0,5811.0,454.0,2607776.0,5744.0,454.0,2684048.0,5912.0,454.0,2664565.0,5755.0,463.0,2389194.0,6003.0,398.0,2236470.0,5870.0,381.0,1740728.0,5764.0,302.0,2176505.0,6131.0,355.0,2151300.0,6060.0,355.0,1811334.0,6161.0,294.0,1808982.0,6153.0,294.0,2054120.0,5770.0,356.0,2225858.0,5722.0,389.0,-0.05089636358746963,-0.0508965645029521
2018-11-15,2319239.210526316,6249.0,19,44065545.0,118731.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2405253.0,6313.0,381.0,2298657.0,5849.0,393.0,1961792.0,6496.0,302.0,1910420.0,6476.0,295.0,1902160.0,6448.0,295.0,2833407.0,6173.0,459.0,2779388.0,6122.0,454.0,2747608.0,6052.0,454.0,2827966.0,6229.0,454.0,2807632.0,6064.0,463.0,2517350.0,6325.0,398.0,2356485.0,6185.0,381.0,1834046.0,6073.0,302.0,2292945.0,6459.0,355.0,2266675.0,6385.0,355.0,1908354.0,6491.0,294.0,1906002.0,6483.0,294.0,2164124.0,6079.0,356.0,2345281.0,6029.0,389.0,-0.055450429466255335,-0.05544904177373289
2018-10-15,2455391.736842105,6615.8421052631575,19,46652443.0,125701.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2546223.0,6683.0,381.0,2433456.0,6192.0,393.0,2076854.0,6877.0,302.0,2022520.0,6856.0,295.0,2013670.0,6826.0,295.0,2999565.0,6535.0,459.0,2942828.0,6482.0,454.0,2908778.0,6407.0,454.0,2994130.0,6595.0,454.0,2972460.0,6420.0,463.0,2665008.0,6696.0,398.0,2495550.0,6550.0,381.0,1941558.0,6429.0,302.0,2427845.0,6839.0,355.0,2399800.0,6760.0,355.0,2020368.0,6872.0,294.0,2018016.0,6864.0,294.0,2291216.0,6436.0,356.0,2482598.0,6382.0,389.0,-0.04788581513951673,-0.047885595691659844
2018-9-15,2578883.6842105263,6948.578947368421,19,48998790.0,132023.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2674239.0,7019.0,381.0,2556072.0,6504.0,393.0,2181346.0,7223.0,302.0,2124295.0,7201.0,295.0,2114855.0,7169.0,295.0,3150117.0,6863.0,459.0,3090832.0,6808.0,454.0,3055420.0,6730.0,454.0,3144404.0,6926.0,454.0,3122009.0,6743.0,463.0,2799134.0,7033.0,398.0,2621280.0,6880.0,381.0,2039405.9999999998,6753.0,302.0,2549610.0,7182.0,355.0,2520500.0,7100.0,355.0,2121798.0,7217.0,294.0,2119446.0,7209.0,294.0,2406560.0,6760.0,356.0,2607467.0,6703.0,389.0,-0.02984406021316599,-0.029906020147987156
2018-8-15,2658215.6315789474,7162.789473684211,19,50506097.0,136093.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2755773.0,7233.0,381.0,2633886.0,6702.0,393.0,2247786.0,7443.0,302.0,2188900.0,7420.0,295.0,2179460.0,7388.0,295.0,3246048.0,7072.0,459.0,3184810.0,7015.0,454.0,3148490.0,6935.0,454.0,3240198.0,7137.0,454.0,3216924.0,6948.0,463.0,2884306.0,7247.0,398.0,2701671.0,7091.0,381.0,2122456.0,7028.0,302.0,2627355.0,7401.0,355.0,2597535.0,7317.0,355.0,2186478.0,7437.0,294.0,2177658.0,7407.0,294.0,2479540.0,6965.0,356.0,2686823.0,6907.0,389.0,0.008307631580040109,0.008312896844507423
2018-7-15,2636314.1052631577,7103.736842105263,19,50089968.0,134971.0,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",2729484.0,7164.0,381.0,2620524.0,6668.0,393.0,2228760.0,7380.0,302.0,2170610.0,7358.0,295.0,2161170.0,7326.0,295.0,3218967.0,7013.0,459.0,3158024.0,6956.0,454.0,3121704.0,6876.0,454.0,3212958.0,7077.0,454.0,3190070.0,6890.0,463.0,2860028.0,7186.0,398.0,2679192.0,7032.0,381.0,2104638.0,6969.0,302.0,2605345.0,7339.0,355.0,2575525.0,7255.0,355.0,2168250.0,7375.0,294.0,2159430.0,7345.0,294.0,2461028.0,6913.0,356.0,2664261.0,6849.0,389.0,,
2018-6-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2018-5-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2018-4-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2018-3-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2018-2-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2018-1-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2017-12-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2017-11-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2017-10-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2017-9-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2017-8-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2017-7-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2017-6-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2017-5-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2017-4-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2017-3-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2017-2-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2017-1-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2016-12-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2016-11-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2016-10-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2016-9-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2016-8-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2016-7-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2016-6-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2016-5-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2016-4-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2016-3-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2016-2-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
2016-1-15,,,19,,,7074,"YUK WO COURT,AU PUI WAN ST|旭禾苑,坳背灣街",,,381.0,,,393.0,,,302.0,,,295.0,,,295.0,,,459.0,,,454.0,,,454.0,,,454.0,,,463.0,,,398.0,,,381.0,,,302.0,,,355.0,,,355.0,,,294.0,,,294.0,,,356.0,,,389.0,,
