,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,9562456.833333334,25555.166666666668,6,57374741.0,153331.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",11514958.000000002,27482.0,419.0,11043036.0,26674.0,414.0,9902868.0,24634.0,402.0,9912400.0,24781.0,400.0,7427673.0,25009.0,297.0,7573806.0,24751.0,306.0,-0.02354151204585897,-0.02354357184705902
2019-1-15,9379282.0,25065.333333333332,6,56275692.0,150392.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",11289536.0,26944.0,419.0,10836036.000000002,26174.0,414.0,9720360.0,24180.0,402.0,9718000.0,24295.0,400.0,7284222.0,24526.0,297.0,7427538.0,24273.0,306.0,-0.0774928296132914,-0.07749118233399788
2018-12-15,10167164.333333334,27170.833333333332,6,61002986.0,163025.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",12237314.0,29206.0,419.0,11746836.0,28374.0,414.0,10538028.0,26214.0,402.0,10533600.0,26334.0,400.0,7896042.0,26586.0,297.0,8051166.0,26311.0,306.0,0.03584363126586809,0.03605292592404297
2018-11-15,9815346.666666666,26225.333333333332,6,58892080.0,157352.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",11822504.0,28216.0,419.0,11349395.999999998,27414.0,414.0,10181856.0,25328.0,402.0,10176800.0,25442.0,400.0,7583004.0,25532.0,297.0,7778520.0,25420.0,306.0,0.03940701285681114,0.039409192395597925
2018-10-15,9443217.666666666,25231.0,6,56659306.0,151386.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",11373755.0,27145.0,419.0,10919664.0,26376.0,414.0,9796740.0,24370.0,402.0,9790400.0,24476.0,400.0,7295211.0,24563.0,297.0,7483536.000000001,24456.0,306.0,0.003679382049036173,0.003679614933269626
2018-9-15,9408599.833333334,25138.5,6,56451599.0,150831.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",11331436.0,27044.0,419.0,10879920.0,26280.0,414.0,9761766.0,24283.0,402.0,9754000.0,24385.0,400.0,7268481.000000001,24473.0,297.0,7455996.000000001,24366.0,306.0,-0.06732908492424527,-0.06732665920516456
2018-8-15,10087802.333333334,26953.166666666668,6,60526814.0,161719.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",12148905.0,28995.0,419.0,11666106.0,28179.0,414.0,10467276.0,26038.0,402.0,10457600.0,26144.0,400.0,7792983.0,26239.0,297.0,7993943.999999999,26124.0,306.0,0.0146606313784452,0.014662885394837621
2018-7-15,9942045.666666666,26563.666666666668,6,59652274.0,159382.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",11972925.000000002,28575.0,419.0,11498022.0,27773.0,414.0,10316928.0,25664.0,402.0,10306000.0,25765.0,400.0,7680123.0,25859.0,297.0,7878276.0,25746.0,306.0,-0.022004165791927988,-0.022004319866476774
2018-6-15,10165734.166666666,27161.333333333332,6,60994405.0,162968.0,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",12241503.999999998,29216.0,419.0,11757186.0,28399.0,414.0,10550088.0,26244.0,402.0,10537200.0,26343.0,400.0,7852977.0,26441.0,297.0,8055450.0,26325.0,306.0,,
2018-5-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2018-4-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2018-3-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2018-2-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2018-1-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2017-12-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2017-11-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2017-10-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2017-9-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2017-8-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2017-7-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2017-6-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2017-5-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2017-4-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2017-3-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2017-2-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2017-1-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2016-12-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2016-11-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2016-10-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2016-9-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2016-8-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2016-7-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2016-6-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2016-5-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2016-4-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2016-3-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2016-2-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
2016-1-15,,,6,,,2238,"LASALLE RESIDENCE,LA SALLE RD|晟林,喇沙利道",,,419.0,,,414.0,,,402.0,,,400.0,,,297.0,,,306.0,,
