,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_change,npsf_change
2019-12-15,6947978.142857143,13533.0,7,48635847.0,94731.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",8907405.0,13435.0,663.0,7546526.0,14027.0,538.0,9464000.0,13520.0,700.0,5520682.0,13498.0,409.0,5786522.0,13333.0,434.0,5786522.0,13333.0,434.0,5624190.0,13585.0,414.0,-0.0003564206316757357,-0.0003482335063949016
2019-1-15,6453099.714285715,12568.42857142857,7,45171698.0,87979.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",8275566.0,12482.0,663.0,7010678.0,13031.0,538.0,8792000.0,12560.0,700.0,5129678.0,12542.0,409.0,5371618.0,12377.0,434.0,5371618.0,12377.0,434.0,5220540.0,12610.0,414.0,0.05630289690410595,0.0563099568970693
2018-12-15,6109137.571428572,11898.42857142857,7,42763963.0,83289.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",7834671.0,11817.0,663.0,6637306.0,12337.0,538.0,8323700.0,11891.0,700.0,4856466.0,11874.0,409.0,5084744.0,11716.0,434.0,5084744.0,11716.0,434.0,4942332.0,11938.0,414.0,-0.02768454870861481,-0.027679196824655694
2018-11-15,6283081.857142857,12237.142857142857,7,43981573.0,85660.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",8058102.0,12154.0,663.0,6826144.0,12688.0,538.0,8561000.0,12230.0,700.0,4995117.0,12213.0,409.0,5229266.0,12049.0,434.0,5229266.0,12049.0,434.0,5082678.0,12277.0,414.0,-0.05124489992264414,-0.0512371796291784
2018-10-15,6622448.571428572,12898.0,7,46357140.0,90286.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",8493693.0,12811.0,663.0,7195212.0,13374.0,538.0,9023700.0,12891.0,700.0,5265057.0,12873.0,409.0,5511366.0,12699.0,434.0,5511366.0,12699.0,434.0,5356746.0,12939.0,414.0,-0.02186032291150808,-0.02186254116831332
2018-9-15,6770452.857142857,13186.285714285714,7,47393170.0,92304.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",8683311.0,13097.0,663.0,7356074.0,13673.0,538.0,9225300.0,13179.0,700.0,5382849.0,13161.0,409.0,5634622.0,12983.0,434.0,5634622.0,12983.0,434.0,5476392.0,13228.0,414.0,-0.054787693668306825,-0.054775582931399946
2018-8-15,7162891.142857143,13950.42857142857,7,50140238.0,97653.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",9187191.0,13857.0,663.0,7782708.0,14466.0,538.0,9760799.999999998,13944.0,700.0,5695325.0,13925.0,409.0,5960556.0,13734.0,434.0,5960556.0,13734.0,434.0,5793102.0,13993.0,414.0,0.0029649535623830214,0.0029682428823794016
2018-7-15,7141716.285714285,13909.142857142857,7,49992014.0,97364.0,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",9160008.0,13816.0,663.0,7760112.0,14424.0,538.0,9732100.0,13903.0,700.0,5678556.0,13884.0,409.0,5942762.0,13693.0,434.0,5942762.0,13693.0,434.0,5775714.0,13951.0,414.0,,
2018-6-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2018-5-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2018-4-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2018-3-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2018-2-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2018-1-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2017-12-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2017-11-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2017-10-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2017-9-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2017-8-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2017-7-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2017-6-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2017-5-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2017-4-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2017-3-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2017-2-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2017-1-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2016-12-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2016-11-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2016-10-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2016-9-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2016-8-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2016-7-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2016-6-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2016-5-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2016-4-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2016-3-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2016-2-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
2016-1-15,,,7,,,3592,"WETLAND SEASONS PARK(Block 23),WETLAND PARK RD|WETLAND SEASONS PARK23座,濕地公園路",,,663.0,,,538.0,,,700.0,,,409.0,,,434.0,,,434.0,,,414.0,,
