,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,10849211.75,14484.5,4,43396847.0,57938.0,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",16030649.000000002,15109.0,1061.0,12363550.0,15170.0,815.0,8331400.0,13525.0,616.0,6671248.0,14134.0,472.0,-0.04989216696744292,-0.049885208265004866
2019-1-15,10731121.5,14325.75,4,42924486.0,57303.0,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",15876804.0,14964.0,1061.0,12210330.0,14982.0,815.0,8234072.0,13367.0,616.0,6603280.0,13990.0,472.0,0.039894715122730906,0.03990635888501748
2018-12-15,10319430.75,13776.0,4,41277723.0,55104.0,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",15269912.0,14392.0,1061.0,11740074.999999998,14405.0,815.0,7917448.000000001,12853.0,616.0,6350288.0,13454.0,472.0,-0.03526497355211122,-0.03526033824713748
2018-11-15,10696647.75,14279.5,4,42786591.0,57118.0,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",15830120.0,14920.0,1061.0,12167135.0,14929.0,815.0,8206352.000000001,13322.0,616.0,6582984.0,13947.0,472.0,0.03343105457276785,0.033435860322055255
2018-10-15,10350615.75,13817.5,4,41402463.0,55270.0,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",15319779.0,14439.0,1061.0,11771860.0,14444.0,815.0,7940240.0,12890.0,616.0,6370584.0,13497.0,472.0,,
2018-9-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2018-8-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2018-7-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2018-6-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2018-5-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2018-4-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2018-3-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2018-2-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2018-1-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-12-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-11-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-10-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-9-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-8-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-7-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-6-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-5-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-4-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-3-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-2-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-1-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-12-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-11-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-10-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-9-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-8-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-7-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-6-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-5-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-4-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-3-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-2-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-1-15,,,4,,,2964,"OCEAN MARINI(Block 1A,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1A座(OCEAN MARINI),1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
