,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,9701221.666666666,17486.666666666668,9,87310995.0,157380.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",12842547.0,16657.0,771.0,12030684.0,15604.0,771.0,8976264.0,18546.0,484.0,8983077.0,17859.0,503.0,8928270.0,17610.0,507.0,8679418.0,17153.0,506.0,8867295.0,17559.0,505.0,8921330.0,17666.0,505.0,9082110.0,18726.0,485.0,-0.03058654996413357,-0.03246629493240538
2019-1-15,9707006.777777778,17536.333333333332,9,87363061.0,157827.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",12615102.0,16362.0,771.0,11824827.0,15337.0,771.0,9260856.0,19134.0,484.0,8804009.0,17503.0,503.0,8772114.0,17302.0,507.0,8373288.0,16548.0,506.0,9305130.0,18426.0,505.0,9051115.0,17923.0,505.0,9356620.0,19292.0,485.0,0.01189990117063422,0.012867245960134
2018-12-15,9592852.777777778,17313.555555555555,9,86335675.0,155822.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",12425436.0,16116.0,771.0,11937393.0,15483.0,771.0,9119528.0,18842.0,484.0,8668702.0,17234.0,503.0,8639787.0,17041.0,507.0,8247294.0,16299.0,506.0,9165245.0,18149.0,505.0,8917290.0,17658.0,505.0,9215000.0,19000.0,485.0,-0.023640814541482702,-0.019481745302608933
2018-11-15,9825126.777777778,17657.555555555555,9,88426141.0,158918.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",12534918.0,16258.0,771.0,13374537.0,17347.0,771.0,9197936.0,19004.0,484.0,8742140.0,17380.0,503.0,8715837.0,17191.0,507.0,8320158.0,16443.0,506.0,9246045.0,18309.0,505.0,8998090.0,17818.0,505.0,9296480.0,19168.0,485.0,-0.016525866982293635,-0.016517417861585337
2018-10-15,9990223.888888888,17954.11111111111,9,89912015.0,161587.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",12746172.0,16532.0,771.0,13600440.0,17640.0,771.0,9350880.0,19320.0,484.0,8885998.0,17666.0,503.0,8862360.0,17480.0,507.0,8460320.0,16720.0,506.0,9401585.0,18617.0,505.0,9151610.0,18122.0,505.0,9452650.0,19490.0,485.0,-0.037877726319853644,-0.03787481839617046
2018-9-15,10383528.333333334,18660.88888888889,9,93451755.0,167948.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",13248093.0,17183.0,771.0,14136285.0,18335.0,771.0,9717752.0,20078.0,484.0,9233068.0,18356.0,503.0,9211683.0,18169.0,507.0,8793774.0,17379.0,506.0,9771750.0,19350.0,505.0,9514705.0,18841.0,505.0,9824645.0,20257.0,485.0,-0.05668432391917244,-0.05667859289256827
2018-8-15,11007479.888888888,19782.11111111111,9,99067319.0,178039.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",14044536.0,18216.0,771.0,14986697.999999998,19438.0,771.0,10299520.0,21280.0,484.0,9784859.0,19453.0,503.0,9765327.0,19261.0,507.0,9322544.0,18424.0,506.0,10359065.0,20513.0,505.0,10089395.0,19979.0,505.0,10415375.0,21475.0,485.0,0.0031835916159650424,0.003189217514776743
2018-7-15,10972547.777777778,19719.222222222223,9,98752930.0,177473.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",14000589.0,18159.0,771.0,14939667.0,19377.0,771.0,10265156.0,21209.0,484.0,9750655.0,19385.0,503.0,9734907.0,19201.0,507.0,9293196.0,18366.0,506.0,10326240.0,20448.0,505.0,10060610.0,19922.0,505.0,10381910.0,21406.0,485.0,0.06286569903733064,0.06384011796934463
2018-6-15,10323550.555555556,18535.88888888889,9,92911955.0,166823.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",13130130.0,17030.0,771.0,14314386.0,18566.0,771.0,9624824.0,19886.0,484.0,9141019.0,18173.0,503.0,9129042.0,18006.0,507.0,8715344.0,17224.0,506.0,9683880.0,19176.0,505.0,9437440.0,18688.0,505.0,9735890.0,20074.0,485.0,0.023919585069038574,0.024635776232710294
2018-5-15,10082384.111111112,18090.222222222223,9,90741457.0,162812.0,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",12791661.0,16591.0,771.0,14172522.0,18382.0,771.0,9374596.0,19369.0,484.0,8902094.0,17698.0,503.0,8893794.0,17542.0,507.0,8490680.0,16780.0,506.0,9434410.0,18682.0,505.0,9196555.0,18211.0,505.0,9485145.0,19557.0,485.0,,
2018-4-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2018-3-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2018-2-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2018-1-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-12-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-11-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-10-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-9-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-8-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-7-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-6-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-5-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-4-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-3-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-2-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-1-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-12-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-11-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-10-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-9-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-8-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-7-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-6-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-5-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-4-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-3-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-2-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-1-15,,,9,,,5037,"SEASIDE SONATA(Block 5),HAI TAN ST|愛海頌5座,海壇街",,,771.0,,,771.0,,,484.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
