,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,46889712.0,26634.0,2,93779424.0,53268.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",50691456.0,26736.0,1896.0,43087968.0,26532.0,1624.0,-0.016959059374360264,-0.01695978740288262
2019-1-15,45620208.0,25913.0,2,91240416.0,51826.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",49316856.0,26011.0,1896.0,41923560.0,25815.0,1624.0,0.04250236721455147,0.042503972803894285
2018-12-15,43760292.0,24856.5,2,87520584.0,49713.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",47307095.99999999,24951.0,1896.0,40213488.0,24762.0,1624.0,-0.07166920485094574,-0.07166999682545616
2018-11-15,47138684.0,26775.5,2,94277368.0,53551.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",50958792.0,26877.0,1896.0,43318576.0,26674.0,1624.0,0.0278707723218814,0.02787001669897693
2018-10-15,45860516.0,26049.5,2,91721032.0,52099.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",49576608.0,26148.0,1896.0,42144424.0,25951.0,1624.0,-0.04282590013008736,-0.042825647620797325
2018-9-15,47912408.0,27215.0,2,95824816.0,54430.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",51794928.0,27318.0,1896.0,44029888.0,27112.0,1624.0,-0.04917504452637722,-0.04917460040178179
2018-8-15,50390356.0,28622.5,2,100780712.0,57245.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",54473976.0,28731.0,1896.0,46306736.0,28514.0,1624.0,0.00012361035602315162,0.0001222963765330487
2018-7-15,50384128.0,28619.0,2,100768256.0,57238.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",54466392.0,28727.0,1896.0,46301864.0,28511.0,1624.0,0.03842526456858475,0.03842525399129171
2018-6-15,48519744.0,27560.0,2,97039488.0,55120.0,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",52450944.0,27664.0,1896.0,44588544.0,27456.0,1624.0,,
2018-5-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2018-4-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2018-3-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2018-2-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2018-1-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2017-12-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2017-11-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2017-10-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2017-9-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2017-8-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2017-7-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2017-6-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2017-5-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2017-4-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2017-3-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2017-2-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2017-1-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2016-12-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2016-11-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2016-10-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2016-9-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2016-8-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2016-7-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2016-6-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2016-5-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2016-4-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2016-3-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2016-2-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
2016-1-15,,,2,,,3520,"SUN SKY MANS(CULLINAN WEST),SHAM MONG RD|日鑽匯(匯璽),深旺道",,,1896.0,,,1624.0,,
