,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_E,npsf_E,nfa_E,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,6841033.0,16700.666666666668,3,20523099.0,50102.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6897555.0,17031.0,405.0,7081148.0,16204.0,437.0,6544396.0,16867.0,388.0,-0.049963934632945683,-0.04996492026470967
2018-4-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2018-3-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2018-2-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2018-1-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2017-12-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2017-11-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2017-10-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2017-9-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2017-8-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2017-7-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2017-6-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2017-5-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2017-4-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2017-3-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2017-2-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2017-1-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2016-12-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2016-11-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2016-10-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2016-9-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2016-8-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2016-7-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2016-6-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2016-5-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2016-4-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2016-3-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2016-2-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2016-1-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
