,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_B9,npsf_B9,nfa_B9,lumpSum_change,npsf_change
2019-12-15,5838364.75,13370.25,12,70060377.0,160443.0,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",8923096.0,12376.0,721.0,5565782.0,12854.0,433.0,5660858.0,13943.0,406.0,5535406.0,13534.0,409.0,5554629.0,13581.0,409.0,5695398.0,13757.0,414.0,5637737.0,12901.0,437.0,4769899.0,12997.0,367.0,5527906.0,14321.0,386.0,5904440.0,12920.0,457.0,5480532.0,13238.0,414.0,5804694.0,14021.0,414.0,-0.0003219471100955884,-0.0003053111681579068
2019-1-15,5416387.75,12400.583333333334,12,64996653.0,148807.0,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",8313130.0,11530.0,721.0,5149236.0,11892.0,433.0,5256076.0,12946.0,406.0,5126406.0,12534.0,409.0,5155854.0,12606.0,409.0,5287194.0,12771.0,414.0,5238756.0,11988.0,437.0,4422717.0,12051.0,367.0,5120290.0,13265.0,386.0,5486742.0,12006.0,457.0,5092614.0,12301.0,414.0,5347638.0,12917.0,414.0,0.05636182053929595,0.056387721490231746
2018-12-15,5127398.25,11738.666666666666,12,61528779.0,140864.0,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",7872599.0,10919.0,721.0,4872982.0,11254.0,433.0,4975530.0,12255.0,406.0,4851558.0,11862.0,409.0,4880597.0,11933.0,409.0,5005260.0,12090.0,414.0,4959513.0,11349.0,437.0,4186369.0,11407.0,367.0,4846230.0,12555.0,386.0,5194719.0,11367.0,457.0,4821444.0,11646.0,414.0,5061978.0,12227.0,414.0,,
2018-11-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2018-10-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2018-9-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2018-8-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2018-7-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2018-6-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2018-5-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2018-4-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2018-3-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2018-2-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2018-1-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2017-12-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2017-11-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2017-10-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2017-9-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2017-8-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2017-7-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2017-6-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2017-5-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2017-4-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2017-3-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2017-2-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2017-1-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2016-12-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2016-11-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2016-10-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2016-9-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2016-8-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2016-7-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2016-6-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2016-5-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2016-4-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2016-3-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2016-2-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
2016-1-15,,,12,,,5267,"WETLAND SEASONS PARK(Phase 2),Block 3,WETLAND PARK RD|WETLAND SEASONS PARK2期,3座,濕地公園路",,,721.0,,,433.0,,,406.0,,,409.0,,,409.0,,,414.0,,,437.0,,,367.0,,,386.0,,,457.0,,,414.0,,,414.0,,
