,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_change,npsf_change
2019-12-15,7549237.3,22569.3,10,75492373,225693,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",9958288.0,22328.0,446.0,7014268.0,21716.0,323.0,6958666.0,21814.0,319.0,5914804.0,24241.0,244.0,9354176.0,22486.0,416.0,7431648.0,22118.0,336.0,7389850.0,22738.0,325.0,7013625.0,22125.0,317.0,6960900.0,23203.0,300.0,7496148.0,22924.0,327.0,-0.014542449955041614,-0.014527115535761137
2019-1-15,7416044.7,22170.1,10,74160447,221701,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",9780780.0,21930.0,446.0,6895081.0,21347.0,323.0,6835213.0,21427.0,319.0,5789388.0,23727.0,244.0,9177376.0,22061.0,416.0,7312032.0,21762.0,336.0,7262125.0,22345.0,325.0,6897920.0,21760.0,317.0,6847800.0,22826.0,300.0,7362732.0,22516.0,327.0,0.015278160307348188,0.015281823011118911
2018-12-15,7304446.2,21836.4,10,73044462,218364,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",9633154.0,21599.0,446.0,6791721.0,21027.0,323.0,6732495.0,21105.0,319.0,5700084.0,23361.0,244.0,9038016.0,21726.0,416.0,7203168.0,21438.0,336.0,7153250.0,22010.0,325.0,6794895.0,21435.0,317.0,6745800.0,22486.0,300.0,7251879.0,22177.0,327.0,-0.008588083305219651,-0.008571999346203452
2018-11-15,7367720.8,22025.2,10,73677208,220252,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",9718340.0,21790.0,446.0,6852122.0,21214.0,323.0,6791829.0,21291.0,319.0,5748396.0,23559.0,244.0,9117056.0,21916.0,416.0,7268016.0,21631.0,336.0,7216950.0,22206.0,325.0,6842128.0,21584.0,317.0,6806400.0,22688.0,300.0,7315971.0,22373.0,327.0,-0.01675700131443003,-0.016762869017486026
2018-10-15,7493285.8,22400.7,10,74932858,224007,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",9882022.0,22157.0,446.0,6968079.0,21573.0,323.0,6906350.0,21650.0,319.0,5843068.0,23947.0,244.0,9269312.0,22282.0,416.0,7391664.0,21999.0,336.0,7338825.0,22581.0,325.0,6972415.0,21995.0,317.0,6922200.0,23074.0,300.0,7438923.0,22749.0,327.0,-0.03774414737873999,-0.0377292839039477
2018-9-15,7787207.3,23279.0,10,77872073,232790,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",10271380.0,23030.0,446.0,7243275.0,22425.0,323.0,7178457.0,22503.0,319.0,6070964.0,24881.0,244.0,9633312.0,23157.0,416.0,7684320.0,22870.0,336.0,7628400.0,23472.0,325.0,7233623.0,22819.0,317.0,7196100.0,23987.0,300.0,7732242.0,23646.0,327.0,-0.056746586702419055,-0.05674368096469129
2018-8-15,8255689.5,24679.4,10,82556895,246794,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",10888644.0,24414.0,446.0,7679648.0,23776.0,323.0,7610383.0,23857.0,319.0,6433792.0,26368.0,244.0,10211552.0,24547.0,416.0,8148000.0,24250.0,336.0,8087625.0,24885.0,325.0,7669815.0,24195.0,317.0,7630200.0,25434.0,300.0,8197236.0,25068.0,327.0,0.0031489563450117775,0.0031542407466120803
2018-7-15,8229774.3,24601.8,10,82297743,246018,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",10854302.0,24337.0,446.0,7656069.0,23703.0,323.0,7586458.0,23782.0,319.0,6410856.0,26274.0,244.0,10177856.0,24466.0,416.0,8123808.0,24178.0,336.0,8062600.0,24808.0,325.0,7646991.0,24123.0,317.0,7607400.0,25358.0,300.0,8171403.0,24989.0,327.0,,
2018-6-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2018-5-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2018-4-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2018-3-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2018-2-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2018-1-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-12-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-11-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-10-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-9-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-8-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-7-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-6-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-5-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-4-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-3-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-2-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-1-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-12-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-11-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-10-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-9-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-8-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-7-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-6-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-5-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-4-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-3-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-2-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-1-15,,,10,,,3353,"WEST WING,THE VERTEX,TONKIN ST|西翼(恆大•睿峰),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
