,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,9463134.666666666,23521.0,6,56778808.0,141126.0,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",7384479.0,25203.0,293.0,9925858.000000002,22406.0,443.0,12006966.0,23966.0,501.0,10367588.0,22988.0,451.0,7139125.0,24875.0,287.0,9954792.0,21688.0,459.0,-0.01700078982649611,-0.01700251450542245
2017-4-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2017-3-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2017-2-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2017-1-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2016-12-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2016-11-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2016-10-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2016-9-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2016-8-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2016-7-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2016-6-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2016-5-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2016-4-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2016-3-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2016-2-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
2016-1-15,,,6,,,2434,"K.SUMMIT(Block 1A),MUK TAI ST|嘉峯匯1A座,沐泰街",,,293.0,,,443.0,,,501.0,,,451.0,,,287.0,,,459.0,,
