,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2016-1-15,16422450.0,14929.5,2,32844900.0,29859,2200.0,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",17304100.0,15731.0,1100.0,15540800.0,14128.0,1100.0,-0.0340956878982952,-0.0340956878982952
2020-1-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2020-2-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2020-3-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2020-4-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2020-5-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2020-6-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2020-7-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2020-8-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2020-9-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2020-10-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2020-11-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2020-12-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2021-1-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2021-2-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2021-3-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2021-4-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2021-5-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2021-6-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2021-7-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2021-8-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2021-9-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2021-10-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2021-11-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2021-12-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2022-1-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2022-2-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2022-3-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2022-4-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2022-5-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2022-6-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2022-7-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2022-8-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2022-9-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2022-10-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2022-11-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
2022-12-15,,,2,,,,"HOC TAM GARDEN,YUK SAU ST|學談花園,毓秀街",,,,,,,,
