,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,10399935.666666666,11171.666666666666,3,31199807.0,33515.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",10913239.0,11647.0,937.0,10280268.0,11223.0,916.0,10006300.0,10645.0,940.0,0.011479225547062821,0.011529291039145129
2018-12-15,10135816.333333334,10887.333333333334,3,30407449.0,32662.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",10671493.0,11389.0,937.0,9948676.0,10861.0,916.0,9787280.0,10412.0,940.0,-0.0008876121783386592,-0.0008870943073016058
2018-11-15,10144821.0,10897.0,3,30434463.0,32691.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",10680863.0,11399.0,937.0,9956920.0,10870.0,916.0,9796680.0,10422.0,940.0,-0.07183292124448015,-0.07183214559495765
2018-10-15,10929951.333333334,11740.333333333334,3,32789854.0,35221.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",11508234.0,12282.0,937.0,10726360.0,11710.0,916.0,10555260.0,11229.0,940.0,0.013728711756844536,0.013728989177987483
2018-9-15,10781929.333333334,11581.333333333334,3,32345788.0,34744.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",11352692.0,12116.0,937.0,10580716.0,11551.0,916.0,10412380.0,11077.0,940.0,-0.05967755153383658,-0.05967685187691141
2018-8-15,11466204.333333334,12316.333333333334,3,34398613.0,36949.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",12073245.0,12885.0,937.0,11251228.0,12283.0,916.0,11074140.0,11781.0,940.0,0.020211047468597032,0.020211502885385313
2018-7-15,11239051.333333334,12072.333333333334,3,33717154.0,36217.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",11834310.0,12630.0,937.0,11027724.0,12039.0,916.0,10855120.0,11548.0,940.0,0.01212743279673556,0.012128664449599036
2018-6-15,11104383.666666666,11927.666666666666,3,33313151.0,35783.0,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",11692823.0,12479.0,937.0,10893988.0,11893.0,916.0,10726340.0,11411.0,940.0,,
2018-5-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2018-4-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2018-3-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2018-2-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2018-1-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-12-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-11-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-10-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-9-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-8-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-7-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-6-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-5-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-4-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-3-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-2-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-1-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-12-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-11-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-10-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-9-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-8-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-7-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-6-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-5-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-4-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-3-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-2-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-1-15,,,3,,,2793,"CRESCENT GREEN(Block 5),KO PO PATH|山水盈5座,高埔徑",,,937.0,,,916.0,,,940.0,,
