,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6404701.142857143,13604.42857142857,7,44832908.0,95231.0,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6110045.000000001,14723.0,415.0,6350124.0,14498.0,438.0,6201260.0,14030.0,442.0,5940310.0,14110.0,421.0,6787980.0,13155.0,516.0,6929472.0,11968.0,579.0,6513717.0,12747.0,511.0,-0.00036495572414585453,-0.00037788531180793505
2018-6-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-5-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-4-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-3-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-2-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-1-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-12-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-11-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-10-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-9-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-8-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-7-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-6-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-5-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-4-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-3-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-2-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-1-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-12-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-11-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-10-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-9-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-8-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-7-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-6-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-5-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-4-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-3-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-2-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-1-15,,,7,,,3322,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
