,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,8437305.6,16197.6,5,42186528.0,80988.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11276472.0,15384.0,733.0,8826840.0,14860.0,594.0,8659596.0,15436.0,561.0,8398484.0,15524.0,541.0,5025136.0,19784.0,254.0,0.00839175766105571,0.008392061159947284
2018-4-15,8497250.0,16315.8,5,42486250.0,81579.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11405480.0,15560.0,733.0,8908812.0,14998.0,594.0,8756649.0,15609.0,561.0,8333023.000000001,15403.0,541.0,5082286.0,20009.0,254.0,0.01921836395856258,0.01921515223447967
2018-3-15,8337026.0,16008.2,5,41685130.0,80041.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11190711.0,15267.0,733.0,8739522.0,14713.0,594.0,8591154.0,15314.0,561.0,8177215.0,15115.0,541.0,4986528.0,19632.0,254.0,0.00925785701220172,0.009255172935554334
2018-2-15,8260551.0,15861.4,5,41302755.0,79307.0,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",11088091.0,15127.0,733.0,8658144.0,14576.0,594.0,8512614.0,15174.0,561.0,8103098.000000001,14978.0,541.0,4940808.0,19452.0,254.0,,
2018-1-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2017-12-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2017-11-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2017-10-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2017-9-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2017-8-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2017-7-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2017-6-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2017-5-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2017-4-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2017-3-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2017-2-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2017-1-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2016-12-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2016-11-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2016-10-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2016-9-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2016-8-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2016-7-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2016-6-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2016-5-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2016-4-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2016-3-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2016-2-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
2016-1-15,,,5,,,2683,"PARK YOHO NAPOLI(PARK VISTA),Block 26,Phase 2B,18 CASTLE PEAK RD TAM MI|PARK YOHO NAPOLI(峻巒),第2B期,第26座,18 青山公路潭尾段",,,733.0,,,594.0,,,561.0,,,541.0,,,254.0,,
