,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,10008971.57142857,14847.714285714286,7,70062801.0,103934.0,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17012292.0,15796.0,1077.0,11209641.0,15087.0,743.0,10491880.0,14840.0,707.0,6869103.0,14709.0,467.0,6724846.0,14431.0,466.0,6708924.0,14244.0,471.0,11046115.0,14827.0,745.0,-0.049991178261065805,-0.04998080473848743
2019-1-15,9910517.285714285,14699.714285714286,7,69373621.0,102898.0,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",16861512.0,15656.0,1077.0,11094475.999999998,14932.0,743.0,10383709.0,14687.0,707.0,6799053.0,14559.0,467.0,6655878.000000001,14283.0,466.0,6640158.0,14098.0,471.0,10938835.0,14683.0,745.0,,
2018-12-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-11-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-10-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-9-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-8-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-7-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-6-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-5-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-4-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-3-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-2-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-1-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-12-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-11-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-10-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-9-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-8-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-7-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-6-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-5-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-4-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-3-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-2-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-1-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-12-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-11-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-10-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-9-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-8-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-7-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-6-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-5-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-4-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-3-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-2-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-1-15,,,7,,,4676,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
