,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10640750.0,13730.0,775.0,,,401.0,,
2018-12-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10151725.0,13099.0,775.0,,,401.0,,
2018-11-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10547750.0,13610.0,775.0,,,401.0,,
2018-10-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10793425.0,13927.0,775.0,,,401.0,,
2018-9-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",11210375.0,14465.0,775.0,,,401.0,,
2018-8-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",11523475.0,14869.0,775.0,,,401.0,,
2018-7-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",11408775.0,14721.0,775.0,,,401.0,,
2018-6-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",11317325.0,14603.0,775.0,,,401.0,,
2018-5-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",11027475.0,14229.0,775.0,,,401.0,,
2018-4-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10797300.0,13932.0,775.0,,,401.0,,
2018-3-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10583400.0,13656.0,775.0,,,401.0,,
2018-2-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10471800.0,13512.0,775.0,,,401.0,,
2018-1-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2017-12-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2017-11-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2017-10-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2017-9-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2017-8-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2017-7-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2017-6-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2017-5-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2017-4-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2017-3-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2017-2-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2017-1-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2016-12-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2016-11-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2016-10-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2016-9-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2016-8-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2016-7-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2016-6-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2016-5-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2016-4-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2016-3-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2016-2-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
2016-1-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",,,775.0,,,401.0,,
