,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_change,npsf_change
2019-12-15,64758790.6,24572.4,5,323793953.0,122862.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",66416413.0,24773.0,2681.0,66254400.0,24768.0,2675.0,65141512.0,24968.0,2609.0,64790124.0,24881.0,2604.0,61191504.0,23472.0,2607.0,-0.04993065332524527,-0.04993079129903566
2019-1-15,64076160.4,24313.4,5,320380802.0,121567.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",65711310.0,24510.0,2681.0,65550875.0,24505.0,2675.0,64455345.0,24705.0,2609.0,64107876.0,24619.0,2604.0,60555396.0,23228.0,2607.0,0.03985198916650767,0.039851849317412036
2018-12-15,61620462.4,23381.6,5,308102312.0,116908.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",63191170.0,23570.0,2681.0,63039050.0,23566.0,2675.0,61984622.0,23758.0,2609.0,61652304.0,23676.0,2604.0,58235166.0,22338.0,2607.0,-0.0353168961312017,-0.03531702808858961
2018-11-15,63876377.8,24237.6,5,319381889.0,121188.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",65504873.0,24433.0,2681.0,65344900.0,24428.0,2675.0,64254452.0,24628.0,2609.0,63909972.00000001,24543.0,2604.0,60367691.99999999,23156.0,2607.0,0.03339249716833104,0.033392455147008615
2018-10-15,61812310.4,23454.4,5,309061552.0,117272.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",63386883.0,23643.0,2681.0,63234325.0,23639.0,2675.0,62177688.0,23832.0,2609.0,61845000.0,23750.0,2604.0,58417656.0,22408.0,2607.0,-0.0878985827173202,-0.08800908320307332
2018-9-15,67769120.0,25717.8,5,338845600.0,128589.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",68724754.0,25634.0,2681.0,68554900.0,25628.0,2675.0,69334175.0,26575.0,2609.0,68305524.0,26231.0,2604.0,63926247.0,24521.0,2607.0,0.0017685546612242753,0.0017684361415370997
2018-8-15,67649478.2,25672.4,5,338247391.0,128362.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",68601428.0,25588.0,2681.0,68434525.0,25583.0,2675.0,69211552.0,26528.0,2609.0,68185740.0,26185.0,2604.0,63814146.0,24478.0,2607.0,,
2018-7-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2018-6-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2018-5-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2018-4-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2018-3-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2018-2-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2018-1-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2017-12-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2017-11-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2017-10-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2017-9-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2017-8-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2017-7-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2017-6-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2017-5-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2017-4-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2017-3-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2017-2-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2017-1-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2016-12-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2016-11-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2016-10-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2016-9-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2016-8-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2016-7-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2016-6-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2016-5-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2016-4-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2016-3-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2016-2-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
2016-1-15,,,5,,,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",,,2681.0,,,2675.0,,,2609.0,,,2604.0,,,2607.0,,
