,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_change,npsf_change
2019-12-15,4264493.428571428,8079.857142857143,7,29851454.0,56559.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",3690180.0,7885.0,468.0,4564241.0,8107.0,563.0,4734280.0,8335.0,568.0,3751405.9999999995,7783.0,482.0,4560300.0,8100.0,563.0,4605903.0,8181.0,563.0,3945144.0,8168.0,483.0,-0.023629852261949913,-0.023632785526860767
2019-1-15,4188671.714285714,7937.571428571428,7,29320702.0,55563.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",3651335.9999999995,7802.0,468.0,4475287.0,7949.0,563.0,4641696.0,8172.0,568.0,3690674.0,7657.0,482.0,4476976.0,7952.0,563.0,4516386.0,8022.0,563.0,3868347.0000000005,8009.0,483.0,-0.07751437227771785,-0.07751693451985664
2018-12-15,4540636.285714285,8604.57142857143,7,31784454.0,60232.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",3958344.0,8458.0,468.0,4851371.0,8617.0,563.0,5031344.0,8858.0,568.0,4001564.0,8302.0,482.0,4853060.0,8620.0,563.0,4895848.0,8696.0,563.0,4192923.0,8681.0,483.0,0.03500645046247364,0.03500300713119686
2018-11-15,4387060.857142857,8313.57142857143,7,30709426.0,58195.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",3824028.0,8171.0,468.0,4686975.0,8325.0,563.0,4860944.0,8558.0,568.0,3867568.0,8024.0,482.0,4689227.0,8329.0,563.0,4729763.0,8401.0,563.0,4050921.0,8387.0,483.0,0.039402976890874575,0.03940059654575023
2018-10-15,4220750.714285715,7998.428571428572,7,29545255.0,55989.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",3678948.0,7861.0,468.0,4509067.0,8009.0,563.0,4676344.0,8233.0,568.0,3722004.0,7722.0,482.0,4511882.0,8014.0,563.0,4550166.0,8082.0,563.0,3896844.0,8068.0,483.0,0.0036440337520418087,0.0036389058186641066
2018-9-15,4205426.0,7969.428571428572,7,29437982.0,55786.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",3665844.0000000005,7833.0,468.0,4492177.0,7979.0,563.0,4659304.0,8203.0,568.0,3709472.0000000005,7696.0,482.0,4495555.0,7985.0,563.0,4533276.0,8052.0,563.0,3882354.0,8038.0,483.0,-0.06733888346981831,-0.06734209382418832
2018-8-15,4509061.142857143,8544.857142857143,7,31563428.0,59814.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",3930264.0,8398.0,468.0,4816465.000000001,8555.0,563.0,4994992.0,8794.0,568.0,3978428.0,8254.0,482.0,4820406.0,8562.0,563.0,4860379.0,8633.0,563.0,4162494.0,8618.0,483.0,0.01462525032178541,0.014622065409146456
2018-7-15,4444065.571428572,8421.714285714286,7,31108459.0,58952.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",3873636.0,8277.0,468.0,4746653.0,8431.0,563.0,4922856.0,8667.0,568.0,3922034.0,8137.0,482.0,4751157.0,8439.0,563.0,4790004.0,8508.0,563.0,4102119.0,8493.0,483.0,-0.021856413545510156,-0.022241387889141206
2018-6-15,4543367.285714285,8613.285714285714,7,31803571.0,60293.0,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",4023864.0,8598.0,468.0,4784374.0,8498.0,563.0,5033048.0,8861.0,568.0,4011686.0,8323.0,482.0,4858690.0,8630.0,563.0,4897537.0,8699.0,563.0,4194372.0,8684.0,483.0,,
2018-5-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2018-4-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2018-3-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2018-2-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2018-1-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2017-12-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2017-11-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2017-10-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2017-9-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2017-8-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2017-7-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2017-6-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2017-5-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2017-4-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2017-3-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2017-2-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2017-1-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2016-12-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2016-11-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2016-10-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2016-9-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2016-8-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2016-7-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2016-6-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2016-5-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2016-4-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2016-3-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2016-2-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
2016-1-15,,,7,,,3690,"KWUN TAK COURT(Block C),SHEUNG LOK ST|冠德苑C座,常樂街",,,468.0,,,563.0,,,568.0,,,482.0,,,563.0,,,563.0,,,483.0,,
