,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,7429016.166666667,15019.166666666666,6,44574097.0,90115.0,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9637420.0,13130.0,734.0,5013000.0,16710.0,300.0,7577124.0,15124.0,501.0,7549569.0,15069.0,501.0,5016000.0,16720.0,300.0,9780984.0,13362.0,732.0,0.008414612745220929,0.008415115875697987
2018-11-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2018-10-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2018-9-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2018-8-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2018-7-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2018-6-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2018-5-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2018-4-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2018-3-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2018-2-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2018-1-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2017-12-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2017-11-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2017-10-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2017-9-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2017-8-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2017-7-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2017-6-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2017-5-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2017-4-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2017-3-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2017-2-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2017-1-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2016-12-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2016-11-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2016-10-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2016-9-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2016-8-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2016-7-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2016-6-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2016-5-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2016-4-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2016-3-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2016-2-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
2016-1-15,,,6,,,3068,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,
