,lumpSum_avg,npsf_avg,final_address,lumpSum_F.P.,npsf_F.P.,nfa_F.P.,lumpSum_R.P.,npsf_R.P.,nfa_R.P.,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4491465.0,8965.0,425N QUEEN'S RD W|425N 皇后大道西,4548078.0,9078.0,501.0,4434852.0,8852.0,501.0,,-0.0063729564976447994,-0.0063729564976447994
2020-12-15,5532793.5,11043.5,425N QUEEN'S RD W|425N 皇后大道西,5379738.0,10738.0,501.0,5685849.0,11349.0,501.0,,-0.008306393678160884,-0.008306393678160884
2020-11-15,5579136.0,11136.0,425N QUEEN'S RD W|425N 皇后大道西,5424828.0,10828.0,501.0,5733444.0,11444.0,501.0,,0.039581777445855115,0.039581777445855115
2020-10-15,5366712.0,10712.0,425N QUEEN'S RD W|425N 皇后大道西,5218416.0,10416.0,501.0,5515008.0,11008.0,501.0,,,
2020-9-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2020-8-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2020-7-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2020-6-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2020-5-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2020-4-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2020-3-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2020-2-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2020-1-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2019-12-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2019-11-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2019-10-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2019-9-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2019-8-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2019-7-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2019-6-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2019-5-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2019-4-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2019-3-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2019-2-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2019-1-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2018-12-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2018-11-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2018-10-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2018-9-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2018-8-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2018-7-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2018-6-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2018-5-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2018-4-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2018-3-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2018-2-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,,,
2018-1-15,,,425N QUEEN'S RD W|425N 皇后大道西,,,501.0,,,501.0,501.0,,
