,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,8595625.0,17629.0,2,17191250,35258,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",8874000.0,17748.0,500.0,8317250.0,17510.0,475.0,-0.0687511257189366,-0.06875148569768363
2017-1-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2016-12-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2016-11-15,7958225.0,16340.0,2,15916450,32680,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",7869000.0,15738.0,500.0,8047450.0,16942.0,475.0,-0.0574787855818939,-0.05747988348282529
2016-10-15,8443550.0,17336.5,2,16887100,34673,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",8348500.0,16697.0,500.0,8538600.0,17976.0,475.0,0.04389726756702039,0.043895830197200114
2016-9-15,8088487.5,16607.5,2,16176975,33215,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",7997000.0,15994.0,500.0,8179975.0,17221.0,475.0,0.06098004879584451,0.060978726122787874
2016-8-15,7623600.0,15653.0,2,15247200,31306,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",7537000.0,15074.0,500.0,7710200.0,16232.0,475.0,0.016002478834947542,0.01599974036932461
2016-7-15,7503525.0,15406.5,2,15007050,30813,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",7417500.0,14835.0,500.0,7589550.0,15978.0,475.0,-0.009067723164541297,-0.009068982151471339
2016-6-15,7572187.5,15547.5,2,15144375,31095,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",7485000.0,14970.0,500.0,7659375.0,16125.0,475.0,0.05364084635654476,0.05363919761452962
2016-5-15,7186687.5,14756.0,2,14373375,29512,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",7103500.0,14207.0,500.0,7269875.0,15305.0,475.0,-0.05880744788477843,-0.05880852149508864
2016-4-15,7635725.0,15678.0,2,15271450,31356,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",7547000.0,15094.0,500.0,7724450.0,16262.0,475.0,0.023536764570358137,0.02353517218867318
2016-3-15,7460137.5,15317.5,2,14920275,30635,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",7373000.0,14746.0,500.0,7547275.0,15889.0,475.0,0.08189865363384707,0.08189716061590624
2016-2-15,6895412.5,14158.0,2,13790825,28316,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",6814500.0,13629.0,500.0,6976325.0,14687.0,475.0,-0.013739947579015865,-0.013070300791188871
2016-1-15,6991475.0,14345.5,2,13982950,28691,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",7094500.0,14189.0,500.0,6888450.0,14502.0,475.0,,
