,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2022-12-15,16961319.0,26001.5,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",22046998.0,27767.0,794.0,11875640.0,24236.0,490.0,,-0.0026009157363869884,-0.0025701517156722087
2020-10-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2020-9-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2020-8-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2020-7-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2020-6-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2020-5-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2020-4-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2020-3-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2020-2-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2020-1-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2019-12-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2019-11-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2019-10-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2019-9-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2019-8-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2019-7-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2019-6-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2019-5-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2019-4-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2019-3-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2019-2-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2019-1-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2018-12-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2018-11-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2018-10-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2018-9-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2018-8-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2018-7-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2018-6-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2018-5-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2018-4-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2018-3-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2018-2-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2018-1-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,642.0,,
