,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_change,npsf_change
2019-12-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,8043036.0,22404.0,359.0,7272320.0,20660.0,352.0,12075360.0,22870.0,528.0,10351294.0,22454.0,461.0,7434886.0,21062.0,353.0,7488250.0,21395.0,350.0,7501550.0,21433.0,350.0,7551882.0,21333.0,354.0,7661940.0,20163.0,380.0,11365808.0,21608.0,526.0,,
2019-1-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,7829072.0,21808.0,359.0,7075552.0,20101.0,352.0,11749584.0,22253.0,528.0,10064091.0,21831.0,461.0,7225910.0,20470.0,353.0,7278950.0,20797.0,350.0,7294350.0,20841.0,350.0,7343022.0,20743.0,354.0,7558960.000000001,19892.0,380.0,11047578.0,21003.0,526.0,,
2018-12-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,7510280.0,20920.0,359.0,6786912.0,19281.0,352.0,11270688.0,21346.0,528.0,9652418.0,20938.0,461.0,6930096.000000001,19632.0,353.0,6981100.000000001,19946.0,350.0,6996150.0,19989.0,350.0,7042829.999999999,19895.0,354.0,7250020.0,19079.0,380.0,10595218.0,20143.0,526.0,,
2018-11-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,8090783.0,22537.0,359.0,7310688.0,20769.0,352.0,12140832.0,22994.0,528.0,10396011.0,22551.0,461.0,7463832.0,21144.0,353.0,7518700.0,21482.0,350.0,7535500.0,21530.0,350.0,7585866.0,21429.0,354.0,7698800.0,20260.0,380.0,11411044.0,21694.0,526.0,,
2018-10-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,7872152.0,21928.0,359.0,7112512.0,20206.0,352.0,11811888.0,22371.0,528.0,10112957.0,21937.0,461.0,7260151.0,20567.0,353.0,7313600.0,20896.0,350.0,7330400.0,20944.0,350.0,7379484.0,20846.0,354.0,7595820.0,19989.0,380.0,11099652.0,21102.0,526.0,,
2018-9-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,8225049.0,22911.0,359.0,7430720.000000001,21110.0,352.0,12340416.0,23372.0,528.0,10564276.0,22916.0,461.0,7583499.0,21483.0,353.0,7639450.0,21827.0,350.0,7657300.0,21878.0,350.0,7708704.0,21776.0,354.0,7824200.0,20590.0,380.0,11594618.0,22043.0,526.0,,
2018-8-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,8651182.0,24098.0,359.0,7815104.0,22202.0,352.0,12979296.0,24582.0,528.0,11109178.0,24098.0,461.0,7974270.0,22590.0,353.0,8033200.0,22952.0,350.0,8052800.0,23008.0,350.0,8106600.0,22900.0,354.0,8228520.0,21654.0,380.0,12192154.0,23179.0,526.0,,
2018-7-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,8651182.0,24098.0,359.0,7814400.0,22200.0,352.0,12978240.0,24580.0,528.0,11106412.0,24092.0,461.0,7971799.0,22583.0,353.0,8031100.0,22946.0,350.0,8050700.0,23002.0,350.0,8104830.0,22895.0,354.0,8341760.0,21952.0,380.0,12188472.0,23172.0,526.0,,
2018-6-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,8331672.0,23208.0,359.0,7525056.0,21378.0,352.0,12497760.0,23670.0,528.0,10693817.0,23197.0,461.0,7675279.0,21743.0,353.0,7732550.0,22093.0,350.0,7752150.0,22149.0,350.0,7803930.0,22045.0,354.0,8032060.0,21137.0,380.0,11735060.000000002,22310.0,526.0,,
2018-5-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,8286079.0,23081.0,359.0,7483168.0,21259.0,352.0,12429120.0,23540.0,528.0,10632965.0,23065.0,461.0,7631154.0,21618.0,353.0,7688100.0,21966.0,350.0,7708050.0,22023.0,350.0,7760034.0,21921.0,354.0,7877400.0,20730.0,380.0,11667732.0,22182.0,526.0,,
2018-4-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,8273514.0,23046.0,359.0,7471200.0,21225.0,352.0,12409056.0,23502.0,528.0,10614064.0,23024.0,461.0,7617034.0,21578.0,353.0,7674100.0,21926.0,350.0,7694750.0,21985.0,350.0,7746228.0,21882.0,354.0,7972400.0,20980.0,380.0,11646692.0,22142.0,526.0,,
2018-3-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2018-2-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2018-1-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2017-12-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2017-11-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2017-10-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2017-9-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2017-8-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2017-7-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2017-6-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2017-5-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2017-4-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2017-3-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2017-2-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2017-1-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2016-12-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2016-11-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2016-10-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2016-9-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2016-8-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2016-7-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2016-6-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2016-5-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2016-4-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2016-3-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2016-2-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
2016-1-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,,,359.0,,,352.0,,,528.0,,,461.0,,,353.0,,,350.0,,,350.0,,,354.0,,,380.0,,,526.0,,
