,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,nfa_avg,lumpSum_change,npsf_change
2020-12-15,8860627.909090908,18632.454545454544,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",16892862.0,21169.0,798.0,8998400.0,17575.0,512.0,9378364.0,18682.0,502.0,9811098.0,19701.0,498.0,9778770.0,18210.0,537.0,9053200.0,17410.0,520.0,7796700.0,17326.0,450.0,4882674.0,20602.0,237.0,6486304.0,18427.0,352.0,6418300.0,18338.0,350.0,7970235.0,17517.0,455.0,,-0.05606462568520665,-0.056067535266728474
2020-1-15,9109950.727272727,19159.363636363636,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",17358096.0,21752.0,798.0,9241600.0,18050.0,512.0,9644926.0,19213.0,502.0,10089480.0,20260.0,498.0,10042974.0,18702.0,537.0,9316840.0,17917.0,520.0,8018100.0,17818.0,450.0,5025822.0,21206.0,237.0,6670399.999999999,18950.0,352.0,6604849.999999999,18871.0,350.0,8196370.0,18014.0,455.0,,0.002245327719742285,0.0022303170949762308
2019-12-15,9089541.727272727,19116.727272727272,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",17318196.0,21702.0,798.0,9219584.0,18007.0,512.0,9623340.0,19170.0,502.0,10067070.0,20215.0,498.0,10019346.0,18658.0,537.0,9297080.0,17879.0,520.0,8000550.0,17779.0,450.0,5015157.0,21161.0,237.0,6655616.0,18908.0,352.0,6590849.999999999,18831.0,350.0,8178170.0,17974.0,455.0,,-0.03272428072207434,-0.032736739941398585
2019-11-15,9397053.545454545,19763.727272727272,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",17903130.0,22435.0,798.0,9530368.0,18614.0,512.0,9949138.0,19819.0,502.0,10408200.0,20900.0,498.0,10357119.0,19287.0,537.0,9612200.0,18485.0,520.0,8271450.0,18381.0,450.0,5185323.0,21879.0,237.0,6880896.000000001,19548.0,352.0,6814499.999999999,19470.0,350.0,8455265.0,18583.0,455.0,,-0.008355098161800356,-0.008374498830033272
2019-10-15,9476228.363636363,19930.636363636364,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",18052356.0,22622.0,798.0,9609728.0,18769.0,512.0,10033474.0,19987.0,502.0,10495848.0,21076.0,498.0,10443039.0,19447.0,537.0,9694360.0,18643.0,520.0,8341200.0,18536.0,450.0,5229879.0,22067.0,237.0,6939328.000000001,19714.0,352.0,6872600.0,19636.0,350.0,8526700.0,18740.0,455.0,,0.010338839083360307,0.010322723355622454
2019-9-15,9379257.727272727,19727.0,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",17866422.0,22389.0,798.0,9509888.0,18574.0,512.0,9931066.0,19783.0,502.0,10388778.0,20861.0,498.0,10335102.0,19246.0,537.0,9596080.0,18454.0,520.0,8256150.0,18347.0,450.0,5177028.0,21844.0,237.0,6868576.0,19513.0,352.0,6802950.0,19437.0,350.0,8439795.0,18549.0,455.0,,-0.05331788241996971,-0.05333257715228035
2019-8-15,9907504.909090908,20838.363636363636,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",18871104.0,23648.0,798.0,10044416.0,19618.0,512.0,10490796.000000002,20898.0,502.0,10974426.0,22037.0,498.0,10915599.0,20327.0,537.0,10137920.0,19496.0,520.0,8721450.0,19381.0,450.0,5469249.0,23077.0,237.0,7255424.000000001,20612.0,352.0,7186900.0,20534.0,350.0,8915270.0,19594.0,455.0,,0.05106588776839116,0.05105278603132679
2019-7-15,9426150.181818182,19826.18181818182,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",17953404.0,22498.0,798.0,9554944.0,18662.0,512.0,9981266.0,19883.0,502.0,10441566.0,20967.0,498.0,10383969.0,19337.0,537.0,9646520.0,18551.0,520.0,8298000.0,18440.0,450.0,5204046.0,21958.0,237.0,6903072.000000001,19611.0,352.0,6838300.0,19538.0,350.0,8482565.0,18643.0,455.0,,0.0029121770281732573,0.000706635954004442
2019-6-15,9398779.272727273,19812.18181818182,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",17437896.0,21852.0,798.0,9577472.0,18706.0,512.0,10006366.0,19933.0,502.0,10467960.0,21020.0,498.0,10408134.0,19382.0,537.0,9671480.0,18599.0,520.0,8318700.0,18486.0,450.0,5217792.0,22016.0,237.0,6920672.0,19661.0,352.0,6856150.0,19589.0,350.0,8503950.0,18690.0,455.0,,,
2019-5-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2019-4-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2019-3-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2019-2-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2019-1-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2018-12-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2018-11-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2018-10-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2018-9-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2018-8-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2018-7-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2018-6-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2018-5-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2018-4-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2018-3-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2018-2-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2018-1-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2017-12-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2017-11-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2017-10-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2017-9-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2017-8-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2017-7-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2017-6-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2017-5-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2017-4-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2017-3-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2017-2-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2017-1-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2016-12-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2016-11-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2016-10-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2016-9-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2016-8-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2016-7-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2016-6-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2016-5-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2016-4-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2016-3-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2016-2-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,,,
2016-1-15,,,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",,,798.0,,,512.0,,,502.0,,,498.0,,,537.0,,,520.0,,,450.0,,,237.0,,,352.0,,,350.0,,,455.0,473.72727272727275,,
