,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2020-12-15,3417986.0,9139.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3417986.0,9139.0,374.0,,-0.01604220499569342,-0.01604220499569342
2018-7-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2018-6-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2018-5-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2018-4-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2018-3-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2018-2-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2018-1-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2017-12-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2017-11-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2017-10-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2017-9-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2017-8-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2017-7-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2017-6-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2017-5-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2017-4-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2017-3-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2017-2-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2017-1-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2016-12-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2016-11-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2016-10-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2016-9-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2016-8-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2016-7-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2016-6-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2016-5-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2016-4-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2016-3-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2016-2-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2016-1-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,374.0,,
