,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,3584157.5,7577.5,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3556960.0,7520.0,473.0,3611355.0,7635.0,473.0,,0.008853681267474434,0.008853681267474434
2017-7-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2017-6-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2017-5-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2017-4-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2017-3-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2017-2-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2017-1-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2016-12-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2016-11-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2016-10-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2016-9-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2016-8-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2016-7-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2016-6-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2016-5-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2016-4-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2016-3-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2016-2-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2016-1-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,473.0,,
