,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,10339206.833333334,19687.166666666668,6,62035241.0,118123.0,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",13300443.0,20061.0,663.0,12655344.0,19088.0,663.0,12755166.0,17642.0,723.0,9540216.0,19752.0,483.0,7301768.0,20396.0,358.0,6482304.0,21184.0,306.0,-0.0010420941528862526,-0.0010402043198078914
2019-1-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2018-12-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2018-11-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2018-10-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2018-9-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2018-8-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2018-7-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2018-6-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2018-5-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2018-4-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2018-3-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2018-2-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2018-1-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2017-12-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2017-11-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2017-10-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2017-9-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2017-8-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2017-7-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2017-6-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2017-5-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2017-4-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2017-3-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2017-2-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2017-1-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2016-12-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2016-11-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2016-10-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2016-9-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2016-8-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2016-7-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2016-6-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2016-5-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2016-4-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2016-3-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2016-2-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2016-1-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
