,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,10683850.25,18321.75,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",12032124.0,18148.0,663.0,12152127.0,18329.0,663.0,10092854.0,19298.0,523.0,8458296.0,17512.0,483.0,,0.008807287724482693,0.008795837462834522
2020-1-15,11153824.5,19126.5,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",12566502.0,18954.0,663.0,12691809.0,19143.0,663.0,10531128.0,20136.0,523.0,8825859.0,18273.0,483.0,,-0.021696591974619484,-0.02168742487404418
2019-12-15,11401191.5,19550.5,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",12845625.0,19375.0,663.0,12974247.0,19569.0,663.0,10764386.0,20582.0,523.0,9020508.0,18676.0,483.0,,-0.0005326209921135971,-0.0005240085375050052
2019-11-15,11407267.25,19560.75,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",12853581.0,19387.0,663.0,12981540.0,19580.0,663.0,10769093.0,20591.0,523.0,9024855.0,18685.0,483.0,,0.035155486906762734,0.03516570748164316
2019-10-15,11019858.75,18896.25,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",12417990.0,18730.0,663.0,12541308.0,18916.0,663.0,10402470.0,19890.0,523.0,8717667.0,18049.0,483.0,,-0.024757364907528112,-0.024747429131775522
2019-9-15,11299607.25,19375.75,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",12733578.0,19206.0,663.0,12860874.0,19398.0,663.0,10666062.0,20394.0,523.0,8937915.0,18505.0,483.0,,0.011884073635840986,0.01189419260497182
2019-8-15,11166899.0,19148.0,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",12585066.0,18982.0,663.0,12710373.0,19171.0,663.0,10540019.0,20153.0,523.0,8832138.0,18286.0,483.0,,-0.049097522202649624,-0.04908996101606533
2019-7-15,11743474.5,20136.5,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",13235469.0,19963.0,663.0,13367406.0,20162.0,663.0,11083416.0,21192.0,523.0,9287607.0,19229.0,483.0,,0.0171366702579272,0.017149062989341823
2019-6-15,11545621.0,19797.0,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",13013364.0,19628.0,663.0,13143312.0,19824.0,663.0,10895659.0,20833.0,523.0,9130149.0,18903.0,483.0,,-0.007964320599836094,-0.007955100660210768
2019-5-15,11638312.25,19955.75,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",13118781.0,19787.0,663.0,13249392.0,19984.0,663.0,10982477.0,20999.0,523.0,9202599.0,19053.0,483.0,,,
2019-4-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2019-3-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2019-2-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2019-1-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2018-12-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2018-11-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2018-10-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2018-9-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2018-8-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2018-7-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2018-6-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2018-5-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2018-4-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2018-3-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2018-2-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2018-1-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2017-12-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2017-11-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2017-10-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2017-9-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2017-8-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2017-7-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2017-6-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2017-5-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2017-4-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2017-3-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2017-2-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2017-1-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2016-12-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2016-11-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2016-10-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2016-9-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2016-8-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2016-7-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2016-6-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2016-5-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2016-4-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2016-3-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2016-2-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,,,
2016-1-15,,,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,523.0,,,483.0,583.0,,
