,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2020-12-15,10929602.2,19454.2,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",13042232.000000002,19208.0,679.0,11931245.999999998,18819.0,634.0,9654003.0,20239.0,477.0,10718160.0,18870.0,568.0,9302370.0,20135.0,462.0,,0.00886547185570885,0.00886782276800524
2019-9-15,11564955.4,20586.6,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",13785058.0,20302.0,679.0,12626110.0,19915.0,634.0,10215909.0,21417.0,477.0,11346936.0,19977.0,568.0,9850764.0,21322.0,462.0,,0.01181360146593402,0.011805528250697694
2019-8-15,11429926.8,20346.4,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",13622777.0,20063.0,679.0,12478388.0,19682.0,634.0,10096659.0,21167.0,477.0,11215160.0,19745.0,568.0,9736650.0,21075.0,462.0,,-0.04913086593719196,-0.04913589247492722
2019-7-15,12020504.6,21397.8,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",14325542.0,21098.0,679.0,13123166.0,20699.0,634.0,10618497.0,22261.0,477.0,11795088.0,20766.0,568.0,10240230.0,22165.0,462.0,,0.017077830619042444,0.017073379407374967
2019-6-15,11818667.4,21038.6,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",14083818.0,20742.0,679.0,12903168.0,20352.0,634.0,10440099.0,21887.0,477.0,11597424.0,20418.0,568.0,10068828.0,21794.0,462.0,,-0.008006741480121038,-0.008015616306592643
2019-5-15,11914060.2,21208.6,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",14195853.0,20907.0,679.0,13007144.0,20516.0,634.0,10524528.0,22064.0,477.0,11691712.0,20584.0,568.0,10151064.0,21972.0,462.0,,,
2019-4-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2019-3-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2019-2-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2019-1-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2018-12-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2018-11-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2018-10-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2018-9-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2018-8-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2018-7-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2018-6-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2018-5-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2018-4-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2018-3-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2018-2-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2018-1-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2017-12-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2017-11-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2017-10-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2017-9-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2017-8-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2017-7-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2017-6-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2017-5-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2017-4-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2017-3-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2017-2-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2017-1-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2016-12-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2016-11-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2016-10-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2016-9-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2016-8-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2016-7-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2016-6-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2016-5-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2016-4-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2016-3-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2016-2-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,,,
2016-1-15,,,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",,,679.0,,,634.0,,,477.0,,,568.0,,,462.0,564.0,,
