,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,nfa_avg,lumpSum_change,npsf_change
2022-12-15,72188444.83333333,36012.666666666664,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",99407574.0,37569.0,2646.0,111066195.0,41991.0,2645.0,51768354.0,33902.0,1527.0,55696040.0,33961.0,1640.0,54335034.0,33917.0,1602.0,60857472.0,34736.0,1752.0,,-0.11396644034991055,-0.11396692486539917
2021-10-15,87019329.83333333,43414.0,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",119855862.0,45297.0,2646.0,133792035.0,50583.0,2645.0,62420706.0,40878.0,1527.0,67154720.0,40948.0,1640.0,65515392.0,40896.0,1602.0,73377264.0,41882.0,1752.0,,0.05706538290069019,0.057064710131400576
2021-9-15,82321615.33333333,41070.333333333336,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",113367870.0,42845.0,2646.0,126587055.0,47859.0,2645.0,59053671.0,38673.0,1527.0,63528680.0,38737.0,1640.0,61978176.0,38688.0,1602.0,69414240.0,39620.0,1752.0,,-0.019505535457774337,-0.01950470309242258
2021-8-15,83959286.16666667,41887.333333333336,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",115606386.0,43691.0,2646.0,129123610.0,48818.0,2645.0,60229461.0,39443.0,1527.0,64791480.0,39507.0,1640.0,63211716.0,39458.0,1602.0,70793064.0,40407.0,1752.0,,-0.027527024056123395,-0.02652495235734309
2021-7-15,86335855.33333333,43028.666666666664,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",118352934.0,44729.0,2646.0,134437415.0,50827.0,2645.0,61674003.0,40389.0,1527.0,66341280.0,40452.0,1640.0,64724004.0,40402.0,1602.0,72485496.0,41373.0,1752.0,,-0.03478362130881141,-0.03478803784998341
2021-6-15,89447151.16666667,44579.5,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",122599764.0,46334.0,2646.0,139296280.0,52664.0,2645.0,63900369.00000001,41847.0,1527.0,68732400.0,41910.0,1640.0,67058118.0,41859.0,1602.0,75095976.0,42863.0,1752.0,,0.008796210573839058,0.00879138286076353
2021-5-15,88667215.66666667,44191.0,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",121512258.0,45923.0,2646.0,138095450.0,52210.0,2645.0,63346067.99999999,41484.0,1527.0,68133800.0,41545.0,1640.0,66474990.0,41495.0,1602.0,74440728.0,42489.0,1752.0,,-0.0066724980106965814,-0.006675957561589674
2021-4-15,89262821.66666667,44488.0,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",122308704.0,46224.0,2646.0,139039715.0,52567.0,2645.0,63775155.0,41765.0,1527.0,68591360.0,41824.0,1640.0,66921948.0,41774.0,1602.0,74940048.0,42774.0,1752.0,,0.03457854938460314,0.034572571393135076
2021-3-15,86279405.0,43001.333333333336,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",118202112.0,44672.0,2646.0,134405675.0,50815.0,2645.0,61646517.0,40371.0,1527.0,66300279.99999999,40427.0,1640.0,64687158.0,40379.0,1602.0,72434688.0,41344.0,1752.0,,0.028719595806113718,0.02871542148114492
2021-2-15,83870673.16666667,41801.0,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",114884028.0,43418.0,2646.0,130668290.0,49402.0,2645.0,59930169.0,39247.0,1527.0,64448720.0,39298.0,1640.0,62881704.0,39252.0,1602.0,70411128.0,40189.0,1752.0,,0.01394055931697502,0.013935211575079043
2021-1-15,82717544.33333333,41226.5,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",113283198.0,42813.0,2646.0,128888205.0,48729.0,2645.0,59108643.0,38709.0,1527.0,63563120.0,38758.0,1640.0,62019828.0,38714.0,1602.0,69442272.0,39636.0,1752.0,,-0.02868748035598523,-0.027072631587227836
2020-12-15,85160587.0,42373.666666666664,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",118620180.0,44830.0,2646.0,132863640.0,50232.0,2645.0,61910688.0,40544.0,1527.0,64343759.99999999,39234.0,1640.0,62873694.0,39247.0,1602.0,70351560.0,40155.0,1752.0,,,
2020-11-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2020-10-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2020-9-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2020-8-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2020-7-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2020-6-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2020-5-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2020-4-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2020-3-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2020-2-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2020-1-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2019-12-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2019-11-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2019-10-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2019-9-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2019-8-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2019-7-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2019-6-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2019-5-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2019-4-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2019-3-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2019-2-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2019-1-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2018-12-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2018-11-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2018-10-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2018-9-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2018-8-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2018-7-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2018-6-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2018-5-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2018-4-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2018-3-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2018-2-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,,,
2018-1-15,,,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",,,2646.0,,,2645.0,,,1527.0,,,1640.0,,,1602.0,,,1752.0,1968.6666666666667,,
