,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_E,npsf_E,nfa_E,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,nfa_avg,lumpSum_change,npsf_change
2020-12-15,5460753.166666667,22303.5,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",7946946.0,19242.0,413.0,5392751.0,21833.0,247.0,5761683.0,22419.0,257.0,4653616.0,24112.0,193.0,4575644.0,23708.0,193.0,4433879.0,22507.0,197.0,,-0.05301089583825347,-0.05419502576171997
2019-11-15,6099409.666666667,24914.666666666668,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8862567.0,21459.0,413.0,6060639.0,24537.0,247.0,6417290.0,24970.0,257.0,5126659.0,26563.0,193.0,5144415.0,26655.0,193.0,4984888.0,25304.0,197.0,,0.08173928352251725,0.08174134537455147
2019-10-15,5638521.0,23032.0,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8193094.0,19838.0,413.0,5602207.0,22681.0,247.0,5932588.0,23084.0,257.0,4739501.0,24557.0,193.0,4755906.0,24642.0,193.0,4607830.0,23390.0,197.0,,-0.062370075507321876,-0.06236769255821528
2019-9-15,6013589.0,24564.0,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8738254.0,21158.0,413.0,5974683.0,24189.0,247.0,6327340.0,24620.0,257.0,5054863.0,26191.0,193.0,5072426.0,26282.0,193.0,4913968.0,24944.0,197.0,,-0.04388244599874669,-0.04387990762124705
2019-8-15,6289591.666666667,25691.333333333332,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",9139690.0,22130.0,413.0,6248359.0,25297.0,247.0,6617750.0,25750.0,257.0,5287042.0,27394.0,193.0,5305570.0,27490.0,193.0,5139139.0,26087.0,197.0,,0.0330944578467085,0.03309429662891228
2019-7-15,6088109.0,24868.333333333332,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8846873.0,21421.0,413.0,6048042.0,24486.0,247.0,6405982.0,24926.0,257.0,5117781.0,26517.0,193.0,5135923.0,26611.0,193.0,4974053.0,25249.0,197.0,,-0.0007591282567309676,-0.0007567487928853422
2019-6-15,6092734.166666667,24887.166666666668,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8853894.0,21438.0,413.0,6052241.0,24503.0,247.0,6410865.0,24945.0,257.0,5121834.0,26538.0,193.0,5140169.0,26633.0,193.0,4977402.0,25266.0,197.0,,0.006086984497938985,0.00609086437720241
2019-5-15,6055872.166666667,24736.5,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8800617.0,21309.0,413.0,6015191.0,24353.0,247.0,6372315.0,24795.0,257.0,5090954.0,26378.0,193.0,5109289.0,26473.0,193.0,4946867.0,25111.0,197.0,,-0.011310416579990767,-0.011311177281720264
2019-4-15,6125150.166666667,25019.5,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8901389.0,21553.0,413.0,6083610.0,24630.0,247.0,6445303.0,25079.0,257.0,5149433.0,26681.0,193.0,5168154.0,26778.0,193.0,5003012.0,25396.0,197.0,,0.047113331753726895,0.047118483280088164
2019-3-15,5849558.0,23893.666666666668,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8501192.0,20584.0,413.0,5809687.0,23521.0,247.0,6155407.0,23951.0,257.0,4917833.0,25481.0,193.0,4935782.0,25574.0,193.0,4777447.0,24251.0,197.0,,-0.020449699473029104,-0.021673559076826443
2019-2-15,5971677.0,24423.0,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8595356.0,20812.0,413.0,5948748.0,24084.0,247.0,6303439.0,24527.0,257.0,5036142.0,26094.0,193.0,5054670.0,26190.0,193.0,4891707.0,24831.0,197.0,,0.06300855882100054,0.06670840188099625
2019-1-15,5617713.0,22895.666666666668,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8303778.0,20106.0,413.0,5548114.0,22462.0,247.0,5879646.0,22878.0,257.0,4697620.0,24340.0,193.0,4714797.0,24429.0,193.0,4562323.0,23159.0,197.0,,0.04220564094329804,0.04152482619013331
2018-12-15,5390215.5,21982.833333333332,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",7928361.0,19197.0,413.0,5331742.0,21586.0,247.0,5650658.999999999,21987.0,257.0,4514849.0,23393.0,193.0,4531447.0,23479.0,193.0,4384235.0,22255.0,197.0,,,
2018-11-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2018-10-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2018-9-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2018-8-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2018-7-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2018-6-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2018-5-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2018-4-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2018-3-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2018-2-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2018-1-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2017-12-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2017-11-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2017-10-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2017-9-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2017-8-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2017-7-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2017-6-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2017-5-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2017-4-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2017-3-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2017-2-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2017-1-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2016-12-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2016-11-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2016-10-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2016-9-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2016-8-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2016-7-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2016-6-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2016-5-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2016-4-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2016-3-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2016-2-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,,
2016-1-15,,,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,250.0,,
