,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,13074096.285714285,24355.85714285714,7,91518674,170491,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",18820304.0,25027.0,752.0,12071094.0,24094.0,501.0,12865484.0,25276.0,509.0,11534000.0,23068.0,500.0,12945555.0,25235.0,513.0,12224918.0,24898.0,491.0,11057319.0,22893.0,483.0,-0.023838992879073206,-0.02385246511734429
2019-1-15,12811738.57142857,23918.285714285714,7,89682170,167428,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",17991600.0,23925.0,752.0,11072601.0,22101.0,501.0,12562629.0,24681.0,509.0,11342500.0,22685.0,500.0,12739842.0,24834.0,513.0,12792514.0,26054.0,491.0,11180484.0,23148.0,483.0,-0.07747884401473593,-0.07747576988137028
2018-12-15,13887745.0,25927.0,7,97214215,181489,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",19504624.0,25937.0,752.0,12000453.0,23953.0,501.0,13613714.0,26746.0,509.0,12298500.0,24597.0,500.0,13806882.0,26914.0,513.0,13861912.0,28232.0,491.0,12128130.0,25110.0,483.0,0.03513065793740422,0.0350926221654424
2018-11-15,13416417.42857143,25048.0,7,93914922,175336,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",18833840.0,25045.0,752.0,11591637.0,23137.0,501.0,13154087.0,25843.0,509.0,11885500.0,23771.0,500.0,13336461.0,25997.0,513.0,13387606.0,27266.0,491.0,11725791.0,24277.0,483.0,0.048537472392342185,0.04889239843745319
2018-10-15,12795362.857142856,23880.428571428572,7,89567540,167163,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",18107408.0,24079.0,752.0,11149755.0,22255.0,501.0,12656285.0,24865.0,509.0,11438000.0,22876.0,500.0,12052422.0,23494.0,513.0,12874511.0,26221.0,491.0,11289159.0,23373.0,483.0,,
2018-9-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2018-8-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2018-7-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2018-6-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2018-5-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2018-4-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2018-3-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2018-2-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2018-1-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2017-12-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2017-11-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2017-10-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2017-9-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2017-8-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2017-7-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2017-6-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2017-5-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2017-4-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2017-3-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2017-2-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2017-1-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2016-12-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2016-11-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2016-10-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2016-9-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2016-8-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2016-7-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2016-6-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2016-5-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2016-4-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2016-3-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2016-2-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
2016-1-15,,,7,,,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",,,752.0,,,501.0,,,509.0,,,500.0,,,513.0,,,491.0,,,483.0,,
