,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,nfa_avg,lumpSum_change,npsf_change
2022-12-15,9760064.4,27643.2,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",11796416.0,27056.0,436.0,8077071.0,26657.0,303.0,9614115.0,27867.0,345.0,9580272.0,28344.0,338.0,9732448.0,28292.0,344.0,,0.008794250555675731,0.008765463635368453
2021-11-15,10620008.6,30110.2,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",12709400.0,29150.0,436.0,9006675.0,29725.0,303.0,10343100.0,29980.0,345.0,10283988.0,30426.0,338.0,10756880.0,31270.0,344.0,,-0.05184244541170324,-0.051844341018874696
2021-10-15,11200679.2,31756.6,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",13403512.0,30742.0,436.0,9498747.0,31349.0,303.0,10907865.0,31617.0,345.0,10845744.000000002,32088.0,338.0,11347528.0,32987.0,344.0,,0.0179464343262421,0.017944148117755576
2021-9-15,11003210.8,31196.8,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",13166328.0,30198.0,436.0,9330885.0,30795.0,303.0,10714665.0,31057.0,345.0,10653760.0,31520.0,338.0,11150416.0,32414.0,344.0,,-0.04181811246922296,-0.041820236866676574
2021-8-15,11483426.0,32558.4,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",13740104.0,31514.0,436.0,9737814.000000002,32138.0,303.0,11181450.0,32410.0,345.0,11117834.0,32893.0,338.0,11639928.0,33837.0,344.0,,0.034837783682643675,0.03483523189585025
2021-7-15,11096836.8,31462.4,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",13276636.0,30451.0,436.0,9409665.0,31055.0,303.0,10804364.999999998,31317.0,345.0,10742654.000000002,31783.0,338.0,11250864.0,32706.0,344.0,,-0.05786366080596095,-0.057865296393450505
2021-6-15,11778376.8,33394.8,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",14091084.0,32319.0,436.0,9986880.0,32960.0,303.0,11467110.0,33238.0,345.0,11401754.0,33733.0,338.0,11945056.0,34724.0,344.0,,0.05892486513030093,0.05879443507374682
2021-5-15,11122958.0,31540.4,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",13279252.0,30457.0,436.0,9436632.0,31144.0,303.0,10835070.0,31406.0,345.0,10773412.0,31874.0,338.0,11290424.0,32821.0,344.0,,0.008990636716588618,0.008989296019757287
2021-4-15,11023846.6,31259.4,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",13160224.0,30184.0,436.0,9352095.0,30865.0,303.0,10737780.0,31124.0,345.0,10676406.0,31587.0,338.0,11192728.0,32537.0,344.0,,-0.030425451080958732,-0.03042766218781401
2021-3-15,11369777.2,32240.4,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",13572244.0,31129.0,436.0,9645096.0,31832.0,303.0,11073810.0,32098.0,345.0,11010688.0,32576.0,338.0,11547048.0,33567.0,344.0,,-0.009814575828997474,-0.009815724815724791
2021-2-15,11482472.8,32560.0,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",13706096.0,31436.0,436.0,9740238.0,32146.0,303.0,11182830.0,32414.0,345.0,11118848.0,32896.0,338.0,11664352.000000002,33908.0,344.0,,0.043387522613143936,0.04339577898980318
2021-1-15,11004993.4,31205.8,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",13138424.000000002,30134.0,436.0,9337248.0,30816.0,303.0,10719495.0,31071.0,345.0,10644296.0,31492.0,338.0,11185504.0,32516.0,344.0,,0.010345855961850337,0.010229914081671065
2020-12-15,10892303.2,30889.8,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",12983644.0,29779.0,436.0,9253014.0,30538.0,303.0,10588740.0,30692.0,345.0,10547966.0,31207.0,338.0,11088152.0,32233.0,344.0,,,
2020-11-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2020-10-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2020-9-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2020-8-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2020-7-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2020-6-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2020-5-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2020-4-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2020-3-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2020-2-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2020-1-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2019-12-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2019-11-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2019-10-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2019-9-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2019-8-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2019-7-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2019-6-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2019-5-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2019-4-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2019-3-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2019-2-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2019-1-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2018-12-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2018-11-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2018-10-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2018-9-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2018-8-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2018-7-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2018-6-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2018-5-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2018-4-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2018-3-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2018-2-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,,,
2018-1-15,,,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",,,436.0,,,303.0,,,345.0,,,338.0,,,344.0,353.2,,
