,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_2,npsf_2,nfa_2,lumpSum_4,npsf_4,nfa_4,lumpSum_change,npsf_change
2019-12-15,64233891.0,14131.5,2,128467782,28263,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",71996248.0,15761.0,4568.0,56471534.0,12502.0,4517.0,-0.14109883162018577,-0.14109888774083756
2017-8-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-7-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-6-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-5-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-4-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-3-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-2-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-1-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-12-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-11-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-10-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-9-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-8-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-7-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-6-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-5-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-4-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-3-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-2-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-1-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
