,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2020-12-15,9127122.25,30519.5,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,9160190.0,22730.0,403.0,8837750.0,33350.0,265.0,9278806.0,33377.0,278.0,9231743.0,32621.0,283.0,,0.1574100307885078,0.15741170893576673
2019-9-15,7852038.0,26290.75,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,7784751.0,19317.0,403.0,7782785.000000001,29369.0,265.0,7916050.0,28475.0,278.0,7924566.0,28002.0,283.0,,-0.04621828656228044,-0.04621844928758645
2019-8-15,8232531.5,27564.75,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,8161959.0,20253.0,403.0,8159880.0,30792.0,265.0,8299690.0,29855.0,278.0,8308597.0,29359.0,283.0,,-0.1252511506436339,-0.1252479253605826
2019-7-15,9411308.75,31511.5,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,9331062.0,23154.0,403.0,9328265.0,35201.0,265.0,9487862.0,34129.0,278.0,9498046.0,33562.0,283.0,,0.11966435084425497,0.11966244725738395
2019-6-15,8405473.25,28143.75,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,8333637.0,20679.0,403.0,8331335.0,31439.0,265.0,8473996.0,30482.0,278.0,8482925.0,29975.0,283.0,,-0.049767182044267555,-0.04976745363844315
2019-5-15,8845698.75,29617.75,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,8770086.0,21762.0,403.0,8767790.0,33086.0,265.0,8917684.0,32078.0,278.0,8927235.0,31545.0,283.0,,0.07247045180235356,0.07237836614618698
2019-4-15,8247965.0,27618.75,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,8169213.0,20271.0,403.0,8177900.0,30860.0,265.0,8318038.0,29921.0,278.0,8326709.0,29423.0,283.0,,-0.12609092417257017,-0.12700419606944457
2019-3-15,9438012.75,31636.75,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,9233133.0,22911.0,403.0,9395575.0,35455.0,265.0,9556528.0,34376.0,278.0,9566815.0,33805.0,283.0,,0.19644821554293523,0.1964469740661252
2019-2-15,7888358.75,26442.25,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,7717047.0,19149.0,403.0,7853010.0,29634.0,265.0,7987496.0,28732.0,278.0,7995882.0,28254.0,283.0,,0.2471994428332971,0.24720240551854245
2019-1-15,6324857.5,21201.25,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,6187662.0,15354.0,403.0,6296400.0,23760.0,265.0,6404286.0,23037.0,278.0,6411082.0,22654.0,283.0,,-0.1315347092032928,-0.13153232495980505
2018-12-15,7282798.25,24412.25,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,7125040.0,17680.0,403.0,7249870.0,27358.0,265.0,7374228.0,26526.0,278.0,7382055.0,26085.0,283.0,,,
2018-11-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2018-10-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2018-9-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2018-8-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2018-7-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2018-6-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2018-5-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2018-4-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2018-3-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2018-2-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2018-1-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2017-12-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2017-11-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2017-10-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2017-9-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2017-8-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2017-7-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2017-6-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2017-5-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2017-4-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2017-3-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2017-2-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2017-1-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2016-12-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2016-11-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2016-10-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2016-9-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2016-8-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2016-7-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2016-6-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2016-5-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2016-4-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2016-3-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2016-2-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,,
2016-1-15,,,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,369.0,,
