,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,11642117.833333334,22796.333333333332,6,69852707.0,136778.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",10531755.000000002,22945.0,459.0,19247282.0,25127.0,766.0,9605720.0,20882.0,460.0,11139922.0,21673.0,514.0,11462144.0,22387.0,512.0,7865884.0,23764.0,331.0,-0.016983959094607703,-0.01698277287068528
2019-1-15,11326669.5,22178.333333333332,6,67960017.0,133070.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",10251765.0,22335.0,459.0,18717210.0,24435.0,766.0,9350880.0,20328.0,460.0,10832550.0,21075.0,514.0,11164160.0,21805.0,512.0,7643452.0,23092.0,331.0,0.04252342455666702,0.04252518763416413
2018-12-15,10864666.666666666,21273.666666666668,6,65188000.0,127642.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",9834075.0,21425.0,459.0,17952742.0,23437.0,766.0,8970000.0,19500.0,460.0,10390510.0,20215.0,514.0,10710016.0,20918.0,512.0,7330657.0,22147.0,331.0,-0.07166102440272037,-0.07166078766500594
2018-11-15,11703340.0,22915.833333333332,6,70220040.0,137495.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",10593720.000000002,23080.0,459.0,19337670.000000004,25245.0,766.0,9663220.0,21007.0,460.0,11191836.0,21774.0,514.0,11537920.0,22535.0,512.0,7895674.0,23854.0,331.0,0.02680902971427468,0.027162910226432357
2018-10-15,11397776.666666666,22309.833333333332,6,68386660.0,133859.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",10307304.0,22456.0,459.0,18882665.999999996,24651.0,766.0,9401479.999999998,20438.0,460.0,10888062.0,21183.0,514.0,11226623.999999998,21927.0,512.0,7680524.0,23204.0,331.0,-0.04280431526400952,-0.04280453359076131
2018-9-15,11907467.666666666,23307.5,6,71444806.0,139845.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",10768599.0,23461.0,459.0,19726032.0,25752.0,766.0,9822840.0,21354.0,460.0,11374306.0,22129.0,514.0,11729920.0,22910.0,512.0,8023109.0,24239.0,331.0,-0.04918131487488642,-0.049177987190470396
2018-8-15,12523384.166666666,24513.0,6,75140305.0,147078.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",11326284.0,24676.0,459.0,20745578.0,27083.0,766.0,10331600.0,22460.0,460.0,11961808.0,23272.0,514.0,12338176.0,24098.0,512.0,8436859.0,25489.0,331.0,0.00012753770518081353,0.00012919984496018166
2018-7-15,12521787.166666666,24509.833333333332,6,75130723.0,147059.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",11325825.0,24675.0,459.0,20741748.0,27078.0,766.0,10330680.0,22458.0,460.0,11959752.0,23268.0,514.0,12338176.0,24098.0,512.0,8434542.0,25482.0,331.0,0.0384370463446968,0.03844225541079682
2018-6-15,12058301.666666666,23602.5,6,72349810.0,141615.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",10907217.0,23763.0,459.0,19973450.0,26075.0,766.0,9948880.0,21628.0,460.0,11516170.0,22405.0,514.0,11883008.0,23209.0,512.0,8121085.0,24535.0,331.0,,
2018-5-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2018-4-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2018-3-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2018-2-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2018-1-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2017-12-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2017-11-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2017-10-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2017-9-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2017-8-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2017-7-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2017-6-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2017-5-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2017-4-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2017-3-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2017-2-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2017-1-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2016-12-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2016-11-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2016-10-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2016-9-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2016-8-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2016-7-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2016-6-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2016-5-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2016-4-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2016-3-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2016-2-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
2016-1-15,,,6,,,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",,,459.0,,,766.0,,,460.0,,,514.0,,,512.0,,,331.0,,
